"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2017,28262982,1,28287439
2017,28263212,1,28287669
2017,28263923,1,28288382
2017,28263925,1,28288383
2017,28264853,1,28289311
2017,28264867,1,28289324
2017,28265292,1,28289751
2017,28265295,1,28289754
2017,28265336,1,28289795
2017,28269426,1,28293891
2017,28270012,1,28294478
2017,28674974,1,28699954
2017,28675459,1,28700442
2017,28675785,1,28700768
2017,28676515,1,28701497
2017,28676574,1,28701555
2017,28677430,1,28702413
2017,28677602,1,28702583
2017,28677780,1,28702762
2017,28677823,1,28702805
2017,28678097,1,28703078
2017,28678578,3,28703560
2017,28679787,1,28704770
2017,28255325,5,28279774
2017,28680024,1,28705008
2017,28256032,1,28280482
2017,28256128,1,28280578
2017,28256292,1,28280743
2017,28256308,1,28280758
2017,28256399,1,28280849
2017,28256408,1,28280858
2017,28256668,1,28281118
2017,28256965,1,28281415
2017,28256972,1,28281422
2017,28257005,1,28281455
2017,28257464,1,28281915
2017,28257523,1,28281973
2017,28257601,1,28282052
2017,28257606,1,28282057
2017,28257633,1,28282084
2017,28257654,1,28282105
2017,28257657,1,28282108
2017,28257942,3,28282394
2017,28258280,1,28282732
2017,28258778,1,28283233
2017,28258777,1,28283232
2017,28680469,1,28705452
2017,28259325,1,28283780
2017,28259457,1,28283912
2017,28259514,1,28283969
2017,28680583,1,28705565
2017,28260078,1,28284533
2017,28260119,1,28284574
2017,28260120,1,28284575
2017,28260118,1,28284573
2017,28260585,1,28285040
2017,28260757,1,28285212
2017,28261073,1,28285529
2017,28261071,1,28285528
2017,28261069,1,28285525
2017,28261623,1,28286081
2017,28681492,1,28706474
2017,28263554,1,28288013
2017,28264267,1,28288725
2017,28264881,1,28289340
2017,28681682,1,28706663
2017,28668615,1,28693595
2017,28670247,1,28695229
2017,28669690,1,28694672
2017,28670442,1,28695422
2017,28670244,1,28695224
2017,28670299,1,28695280
2017,28670301,1,28695281
2017,28671672,1,28696653
2017,28671668,1,28696649
2017,28672104,1,28697084
2017,28672101,1,28697081
2017,28672192,1,28697172
2017,28672230,1,28697210
2017,28672958,1,28697938
2017,28672817,1,28697794
2017,28672957,1,28697937
2017,28672985,1,28697964
2017,28672991,1,28697971
2017,28673051,1,28698031
2017,28673050,1,28698029
2017,28255379,1,28279829
2017,28255833,1,28280283
2017,28255865,1,28280315
2017,28255897,1,28280347
2017,28256011,1,28280461
2017,28256025,1,28280474
2017,28256072,1,28280522
2017,28256118,1,28280568
2017,28256145,1,28280595
2017,28256577,1,28281027
2017,28256671,1,28281121
2017,28256851,1,28281301
2017,28256945,1,28281395
2017,28256975,1,28281425
2017,28257249,1,28281699
2017,28257292,1,28281744
2017,28257473,1,28281924
2017,28257470,1,28281921
2017,28257557,1,28282007
2017,28257605,1,28282056
2017,28258431,1,28282886
2017,28259275,1,28283730
2017,28259369,1,28283824
2017,28259493,1,28283948
2017,28259634,1,28284089
2017,28259908,7,28284361
2017,28259959,1,28284414
2017,28260003,1,28284459
2017,28260010,1,28284465
2017,28260360,1,28284815
2017,28260498,1,28284952
2017,28261624,1,28286080
2017,28261745,1,28286204
2017,28262042,7,28286499
2017,28262428,1,28286886
2017,28262475,7,28286932
2017,28262832,1,28287289
2017,28263022,1,28287479
2017,28263197,1,28287653
2017,28263978,1,28288436
2017,28264227,1,28288685
2017,28264369,1,28288825
2017,28022946,1,28047070
2017,28023036,1,28047161
2017,28022648,1,28046764
2017,28023048,1,28047172
2017,28023728,1,28047852
2017,28023944,1,28048068
2017,28024031,1,28048157
2017,28024399,1,28048526
2017,28024662,1,28048787
2017,28024866,1,28048990
2017,28025410,1,28049535
2017,28025409,1,28049533
2017,28025438,1,28049562
2017,28026011,1,28050135
2017,28026234,1,28050358
2017,28026791,1,28050914
2017,28026835,1,28050959
2017,28027117,3,28051241
2017,28027509,1,28051633
2017,28027670,1,28051793
2017,28027830,1,28051956
2017,28028414,1,28052534
2017,28028529,1,28052654
2017,28028542,1,28052667
2017,28029399,1,28053524
2017,28029412,1,28053537
2017,28029445,1,28053570
2017,28029521,2,28053646
2017,28029573,1,28053699
2017,28029681,7,28053809
2017,28030010,1,28054134
2017,28030012,5,28054137
2017,28030324,1,28054449
2017,28030428,1,28054553
2017,28030750,1,28054875
2017,28031066,1,28055192
2017,28031464,1,28055590
2017,28031469,1,28055595
2017,28031683,1,28055810
2017,28031810,1,28055937
2017,28031831,1,28055959
2017,28031943,1,28056070
2017,28032536,1,28056664
2017,28032527,1,28056657
2017,28032530,1,28056658
2017,28032923,1,28057052
2017,28034072,1,28058200
2017,28034145,1,28058274
2017,28034378,1,28058508
2017,28034629,1,28058759
2017,28034635,1,28058763
2017,28034684,22,28058813
2017,28035886,1,28060019
2017,28036258,1,28060386
2017,28036596,1,28060726
2017,28036598,1,28060729
2017,28037003,1,28061132
2017,28037373,1,28061502
2017,28037512,1,28061641
2017,28037583,1,28061712
2017,28038275,1,28062406
2017,28038412,3,28062541
2017,28659819,1,28684792
2017,28659950,24,28684924
2017,28659996,1,28684970
2017,28660115,1,28685086
2017,28660444,1,28685419
2017,28660243,1,28685217
2017,28255341,1,28279791
2017,28255458,1,28279909
2017,28255592,1,28280041
2017,28660433,1,28685412
2017,28255915,1,28280365
2017,28660542,1,28685516
2017,28256030,1,28280480
2017,28660582,1,28685553
2017,28256184,1,28280636
2017,28256180,1,28280631
2017,28256317,1,28280767
2017,28256324,1,28280772
2017,28256326,1,28280776
2017,28256321,1,28280771
2017,28256820,1,28281270
2017,28256977,1,28281427
2017,28256990,1,28281440
2017,28256996,1,28281446
2017,28257004,1,28281454
2017,28257051,1,28281502
2017,28257086,1,28281534
2017,28257087,1,28281538
2017,28257089,1,28281540
2017,28257080,1,28281532
2017,28257088,1,28281539
2017,28257297,1,28281748
2017,28257577,1,28282028
2017,28257582,1,28282033
2017,28258363,1,28282818
2017,28660869,1,28685844
2017,28258676,1,28283130
2017,28258911,1,28283366
2017,28258957,1,28283412
2017,28661008,1,28685982
2017,28259485,1,28283940
2017,28661339,1,28686313
2017,28259929,22,28284384
2017,28259933,1,28284389
2017,28259940,1,28284395
2017,28661340,1,28686314
2017,28260054,1,28284509
2017,28260161,1,28284617
2017,28260422,1,28284877
2017,28260430,1,28284884
2017,28260542,1,28284997
2017,28260571,1,28285027
2017,28260713,1,28285170
2017,28260893,3,28285348
2017,28261230,1,28285687
2017,28261265,1,28285721
2017,28261315,1,28285771
2017,28261441,1,28285897
2017,28261632,1,28286089
2017,28261742,1,28286200
2017,28261832,1,28286289
2017,28261860,1,28286318
2017,28261959,1,28286416
2017,28262062,1,28286520
2017,28262064,1,28286522
2017,28262066,1,28286523
2017,28262328,1,28286785
2017,28262344,1,28286802
2017,28262607,1,28287065
2017,28262861,1,28287318
2017,28262974,1,28287431
