"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2017,102665398,116346125
2017,102665429,116346146
2017,102665492,116346148
2017,102665525,116346148
2017,102665589,116346148
2017,102665571,116346148
2017,102665465,116346148
2017,102665548,116346148
2017,102665510,116346148
2017,102665440,116346148
2017,102665451,116346148
2017,102665669,116346382
2017,102665816,116346557
2017,102666262,116347007
2017,102666457,116347214
2017,102666653,116347410
2017,102666677,116347433
2017,102666792,116347553
2017,102666901,116347688
2017,102666985,116347773
2017,102667247,116348031
2017,103384600,117068834
2017,103384600,117068840
2017,103384600,117068830
2017,103385097,117069337
2017,103385129,117069368
2017,103385197,117069433
2017,103385304,117069557
2017,103385346,117069596
2017,103385346,117069595
2017,103385364,117069621
2017,103385412,117069671
2017,103385407,117069672
2017,103385825,117070102
2017,103385887,117070169
2017,103385906,117070190
2017,103385908,117070190
2017,103385943,117070231
2017,103386108,117070414
2017,103386108,117070415
2017,103386332,117070660
2017,103386641,117070990
2017,103389059,117073560
2017,103389439,117073936
2017,103389547,117074053
2017,103389644,117074142
2017,103389666,117074163
2017,103389702,117074198
2017,103389747,117074251
2017,103389773,117074279
2017,103389800,117074289
2017,103390039,117074567
2017,103390039,117074564
2017,103390126,117074672
2017,103390182,117074735
2017,103390367,117074926
2017,103390415,117074976
2017,103390485,117075045
2017,103390777,117075360
2017,103390837,117075416
2017,103390988,117075579
2017,103391031,117075627
2017,103391074,117075670
2017,103391159,117075747
2017,103391572,117076174
2017,103391849,117076449
2017,103392547,117077195
2017,103393065,117077703
2017,103393257,117077879
2017,103393308,117077935
2017,103393308,117077932
2017,103393457,117078100
2017,103393906,117078568
2017,103393968,117078625
2017,103394816,117079469
2017,103394834,117079484
2017,103395559,117080191
2017,103395559,117080189
2017,103396208,117080852
2017,103396346,117080975
2017,103396346,117080982
2017,103396339,117080982
2017,103396339,117080975
2017,103396729,117081385
2017,103045780,116729340
2017,103045834,116729391
2017,103045871,116729427
2017,103045952,116729521
2017,103045967,116729536
2017,103046146,116729718
2017,103418168,117102670
2017,103046334,116729901
2017,103046717,116730299
2017,103046733,116730313
2017,103046798,116730384
2017,103046889,116730479
2017,103418298,117102806
2017,103047288,116730892
2017,103418617,117103125
2017,103047493,116731112
2017,103047529,116731144
2017,103047522,116731149
2017,103047544,116731144
2017,103047587,116731205
2017,103047737,116731375
2017,103047856,116731506
2017,103047883,116731535
2017,103047905,116731554
2017,103047929,116731582
2017,103047985,116731638
2017,103048083,116731739
2017,103048108,116731762
2017,103048327,116731989
2017,103048664,116732338
2017,103048709,116732382
2017,103048709,116732384
2017,103048791,116732475
2017,103048818,116732500
2017,103049014,116732714
2017,103049014,116732712
2017,103049040,116732732
2017,103049040,116732736
2017,103049244,116732966
2017,103049263,116732981
2017,103049292,116733013
2017,103049448,116733169
2017,103049479,116733199
2017,103418892,117103401
2017,103049795,116733519
2017,103050059,116733799
2017,103050087,116733827
2017,103050825,116734580
2017,103051115,116734908
2017,103051318,116735113
2017,103051427,116735227
2017,103419022,117103529
2017,103419102,117103605
2017,103053620,116737499
2017,103053656,116737528
2017,103419200,117103702
2017,103053745,116737617
2017,103053850,116737740
2017,103054194,116738095
2017,103054479,116738376
2017,103054560,116738464
2017,103054784,116738688
2017,103054782,116738690
2017,103054817,116738722
2017,103054817,116738716
2017,103055262,116739207
2017,103055323,116739270
2017,103055549,116739495
2017,103055579,116739527
2017,103055592,116739539
2017,103055875,116739841
2017,103055948,116739927
2017,103056007,116739987
2017,103056008,116739990
2017,103056007,116739990
2017,103056007,116739988
2017,103056008,116739987
2017,103056008,116739988
2017,103056401,116740409
2017,103056546,116740550
2017,103056545,116740550
2017,103056640,116740648
2017,103056678,116740685
2017,103056874,116740881
2017,103057197,116741217
2017,103057234,116741257
2017,103057277,116741292
2017,103057429,116741460
2017,103057645,116741695
2017,103057905,116741955
2017,103058063,116742110
2017,103058487,116742535
2017,103058499,116742555
2017,103058565,116742617
2017,103058750,116742822
2017,103058821,116742910
2017,103059116,116743207
2017,103419456,117103947
2017,103059418,116743522
2017,103059573,116743692
2017,103059752,116743877
2017,103059846,116743975
2017,103059981,116744097
2017,103419507,117104001
2017,103419532,117104025
2017,103060693,116744835
2017,103061156,116745321
2017,103419576,117104071
2017,103419614,117104102
2017,103419636,117104127
2017,103061734,116745881
2017,103061819,116745990
2017,103061918,116746091
2017,103062012,116746186
2017,103062145,116746324
2017,103063060,116747237
2017,103063657,116747829
2017,103063974,116748150
2017,103064167,116748362
2017,103064179,116748362
2017,103064172,116748362
2017,103064337,116748533
2017,103064337,116748529
2017,103064689,116748909
2017,103064908,116749080
2017,103065104,116749272
2017,103065136,116749302
2017,103065161,116749327
2017,103065459,116749632
2017,103065502,116749678
2017,103065502,116749675
2017,103065546,116749735
2017,103065848,116750016
2017,103065959,116750129
2017,103066187,116750379
2017,103066187,116750382
2017,103066232,116750432
2017,103419886,117104368
2017,103066315,116750529
2017,103066610,116750828
2017,103066610,116750834
2017,103419888,117104365
2017,103419906,117104388
2017,103066949,116751178
2017,103067167,116751403
2017,103067429,116751665
2017,103067460,116751685
2017,103067624,116751869
2017,103067663,116751922
2017,103067887,116752124
2017,103068874,116753094
2017,103068874,116753091
2017,103068983,116753221
2017,103069044,116753277
2017,103069283,116753522
2017,103420001,117104489
2017,103069703,116753939
2017,103069910,116754153
2017,103420020,117104503
2017,103420044,117104525
2017,103070142,116754385
2017,103070287,116754533
2017,103420060,117104540
2017,103070745,116755006
2017,103071568,116755829
2017,103071904,116756178
2017,103071922,116756198
2017,103071945,116756220
2017,103072434,116756696
2017,103072434,116756694
2017,103420243,117104716
2017,103072923,116757209
2017,103072967,116757260
2017,103073188,116757483
2017,103073258,116757555
2017,103073784,116758113
2017,103074171,116758506
2017,101290305,114961684
2017,101290538,114961912
2017,101290595,114961976
2017,101290595,114961977
2017,101290625,114962009
2017,101290654,114962036
2017,101290654,114962035
2017,101290668,114962050
2017,101291128,114962505
2017,101291457,114962854
2017,101291486,114962877
2017,101291578,114962973
2017,101291577,114962972
2017,101291642,114963035
2017,101291661,114963053
2017,101291732,114963117
2017,101291732,114963114
