"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7778513,15205,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OK0551800_NIBRS",20168790,0
2017,7795757,15205,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0551800_NIBRS",19446538,0
2017,7813883,15205,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OK0551800_NIBRS",19446581,0
2017,7836619,15205,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0551800_NIBRS",20168800,0
2017,7882013,15205,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OK0551800_NIBRS",21534656,0
2017,7926989,15205,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OK0551800_NIBRS",21534688,0
2017,7609346,26673,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0512100_NIBRS",9811770,0
2017,7638827,26673,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0512100_NIBRS",18061012,0
2017,7662143,26673,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0512100_NIBRS",8654254,0
2017,7690721,26673,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OK0512100_NIBRS",10680856,0
2017,7716448,26673,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OK0512100_NIBRS",14028476,0
2017,7744208,26673,6,2017,"Z",01-JUN-06,"Y","F","C","2017_06_OK0512100_NIBRS",11510268,0
2017,7778733,26673,7,2017,"Z",01-JUL-07,"Y","F","C","2017_07_OK0512100_NIBRS",13132528,0
2017,7795714,26673,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0512100_NIBRS",18061062,0
2017,7813806,26673,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OK0512100_NIBRS",15614147,0
2017,7836600,26673,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0512100_NIBRS",18061105,0
2017,7881982,26673,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OK0512100_NIBRS",18061154,0
2017,7926420,26673,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OK0512100_NIBRS",20162990,0
2017,7609417,15208,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0552200_NIBRS",27970785,0
2017,7639474,15208,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0552200_NIBRS",27971317,0
2017,7662717,15208,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0552200_NIBRS",27960839,0
2017,7690735,15208,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OK0552200_NIBRS",27970805,0
2017,7691819,15208,5,2017,"I",,"Y","G","C","2017_05_OK0552200_NIBRS",27971339,0
2017,7609082,15032,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0200900_NIBRS",7782511,0
2017,7638348,15032,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0200900_NIBRS",9799873,0
2017,7661831,15032,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0200900_NIBRS",9799894,0
2017,7690585,15032,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OK0200900_NIBRS",10664489,0
2017,7716142,15032,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OK0200900_NIBRS",10664502,0
2017,7744197,15032,6,2017,"Z",01-JUN-06,"Y","F","C","2017_06_OK0200900_NIBRS",11510210,0
2017,7778731,15032,7,2017,"Z",01-JUL-07,"Y","F","C","2017_07_OK0200900_NIBRS",13132510,0
2017,7795565,15032,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0200900_NIBRS",19423948,0
2017,7813560,15032,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OK0200900_NIBRS",15578121,0
2017,7836323,15032,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0200900_NIBRS",15578164,0
2017,7881001,15032,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OK0200900_NIBRS",19423986,0
2017,7950182,15032,12,2017,"Z",01-DEC-12,"Y","F","C","2017_12_OK0200900_NIBRS",18698122,0
2017,7609422,26664,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0552300_NIBRS",22273686,0
2017,7639475,26664,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0552300_NIBRS",10685066,0
2017,7662719,26664,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0552300_NIBRS",14033842,0
2017,7690738,26664,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OK0552300_NIBRS",21534930,0
2017,7716507,26664,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OK0552300_NIBRS",16829288,0
2017,7744032,26664,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OK0552300_NIBRS",16829337,0
2017,7778511,26664,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OK0552300_NIBRS",16829361,0
2017,7778512,26664,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0552300_NIBRS",16829409,0
2017,7813889,26664,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OK0552300_NIBRS",22273724,0
2017,7836621,26664,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0552300_NIBRS",21535014,0
2017,7882017,26664,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OK0552300_NIBRS",20169373,0
2017,7884798,26664,12,2017,"I",,"Y","G","C","2017_12_OK0552300_NIBRS",21535087,0
2017,7609421,15210,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0554300_NIBRS",9815822,0
2017,7639476,15210,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0554300_NIBRS",9815853,0
2017,7662720,15210,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0554300_NIBRS",10685147,0
2017,7664946,15210,4,2017,"I",,"Y","G","C","2017_04_OK0554300_NIBRS",10685179,0
2017,7716508,15210,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OK0554300_NIBRS",11478023,0
2017,7744035,15210,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OK0554300_NIBRS",13100444,0
2017,7778519,15210,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OK0554300_NIBRS",14034386,0
2017,7795760,15210,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0554300_NIBRS",15621600,0
2017,7813892,15210,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OK0554300_NIBRS",15621637,0
2017,7836660,15210,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0554300_NIBRS",18069362,0
2017,7882016,15210,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OK0554300_NIBRS",18069415,0
2017,7926995,15210,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OK0554300_NIBRS",20169444,0
2017,7609484,15259,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0621600_NIBRS",6873814,0
2017,7639802,15259,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0621600_NIBRS",9819750,0
2017,7662744,15259,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0621600_NIBRS",10691318,0
2017,7690768,15259,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OK0621600_NIBRS",11484020,0
2017,7716561,15259,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OK0621600_NIBRS",11484059,0
2017,7755203,15259,6,2017,"Z",01-JUN-06,"Y","F","C","2017_06_OK0621600_NIBRS",12101344,0
2017,7778732,15259,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OK0621600_NIBRS",14680432,0
