"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2017,6,114415392
2017,6,114415394
2017,6,114415792
2017,6,114415788
2017,6,114416454
2017,6,114416735
2017,6,114417098
2017,6,114417115
2017,6,114417198
2017,6,114417197
2017,6,114417238
2017,6,114417236
2017,6,114418663
2017,6,114419243
2017,6,114419242
2017,1,114419244
2017,6,114419244
2017,3,114423792
2017,3,114425922
2017,6,114426237
2017,6,114426238
2017,6,114432014
2017,6,114432007
2017,6,114433553
2017,6,114433556
2017,6,114433662
2017,8,114434641
2017,6,114434664
2017,6,114434669
2017,6,114435585
2017,6,114437677
2017,2,114438285
2017,6,114438359
2017,1,114439138
2017,8,114439138
2017,1,114439139
2017,6,114439139
2017,7,114439139
2017,6,114439275
2017,6,114439273
2017,3,114439406
2017,6,114439406
2017,6,114439651
2017,7,114439651
2017,8,114439651
2017,7,114439647
2017,8,114439647
2017,6,114439647
2017,6,114440345
2017,6,114440346
2017,6,114441068
2017,6,114441074
2017,6,114442622
2017,6,114442641
2017,6,114442646
2017,6,114443764
2017,6,114445114
2017,6,114445138
2017,6,114415350
2017,6,114415354
2017,6,114415397
2017,6,114415410
2017,7,114415410
2017,6,114415408
2017,6,114416330
2017,6,114416338
2017,6,114416497
2017,6,114416496
2017,6,114416742
2017,3,114416875
2017,8,114416877
2017,6,114416879
2017,6,114416912
2017,7,114416912
2017,6,114417094
2017,6,114417099
2017,6,114417110
2017,6,114417878
2017,8,114417878
2017,1,114417878
2017,1,114417881
2017,6,114417881
2017,8,114417881
2017,6,114418259
2017,6,114421935
2017,6,114426219
2017,6,114426215
2017,6,114426507
2017,6,114427531
2017,6,114427535
2017,6,114429559
2017,6,114430125
2017,5,114431352
2017,6,114431449
2017,6,114431455
2017,6,114433626
2017,6,114433652
2017,5,114434691
2017,6,114434900
2017,6,114434901
2017,1,114435436
2017,3,114435436
2017,8,114435436
2017,6,114435804
2017,6,114435803
2017,6,114437319
2017,6,114437318
2017,6,114437897
2017,6,114437895
2017,6,114438575
2017,6,114438657
2017,3,114438757
2017,8,114439516
2017,8,114439517
2017,6,114439939
2017,6,114439940
2017,6,114439969
2017,6,114439971
2017,6,114440918
2017,6,114442393
2017,6,114442568
2017,6,114444073
2017,6,114444072
2017,6,114444280
2017,6,114444276
2017,6,114445124
2017,6,114445128
2017,6,114445131
2017,6,114445171
2017,6,114445172
2017,6,114417127
2017,2,114418216
2017,6,114421988
2017,6,114421990
2017,6,114423592
2017,7,114424012
2017,8,114424012
2017,6,114424012
2017,6,114425933
2017,6,114429376
2017,6,114431123
2017,6,114433293
2017,8,114433293
2017,3,114433311
2017,6,114433311
2017,3,114433309
2017,6,114433309
2017,6,114433622
2017,6,114434591
2017,8,114434959
2017,6,114434961
2017,1,114435078
2017,6,114435078
2017,8,114435078
2017,6,114435214
2017,6,114439493
2017,6,114439585
2017,6,114439584
2017,6,114439750
2017,6,114439748
2017,6,114440243
2017,6,114441085
2017,6,114443900
2017,6,114445041
2017,6,114445133
2017,6,114445260
2017,6,114414851
2017,8,114414851
2017,6,114415412
2017,3,114415650
2017,4,114415650
2017,1,114415650
2017,6,114416358
2017,6,114416489
2017,6,114416488
2017,6,114417109
2017,6,114422745
2017,3,114422743
2017,6,114426597
2017,6,114429994
2017,6,114429991
2017,6,114430941
2017,6,114431883
2017,6,114432381
2017,6,114433641
2017,6,114433667
2017,6,114433988
2017,6,114434596
2017,6,114438662
2017,6,114438793
2017,6,114438791
2017,6,114438939
2017,6,114439267
2017,6,114439265
2017,6,114439613
2017,7,114439613
2017,8,114439613
2017,6,114439730
2017,6,114439984
2017,8,114439984
2017,6,114439987
2017,8,114439987
2017,8,114441292
2017,6,114441462
2017,6,114441459
2017,3,114441762
2017,6,114441762
2017,6,114442086
2017,6,114442469
2017,6,114442676
2017,6,114442869
2017,6,114443854
2017,6,114443851
2017,6,114443848
2017,6,114444718
2017,6,114444801
2017,6,114445070
2017,6,114445119
2017,6,114445208
2017,6,114445277
2017,6,114445273
2017,6,114415104
2017,6,114415098
2017,6,114415361
2017,6,114415463
2017,6,114416353
2017,5,114418258
2017,6,114418965
2017,7,114418965
2017,8,114418965
2017,6,114420685
2017,6,114422214
2017,6,114422212
2017,6,114423293
2017,6,114423292
2017,6,114424055
2017,6,114424054
2017,6,114424881
2017,6,114424879
2017,8,114426159
2017,6,114428516
2017,7,114428516
2017,8,114428516
2017,6,114428514
2017,7,114428514
2017,8,114428514
2017,6,114434726
2017,6,114436222
2017,6,114436223
2017,6,114438330
2017,6,114438332
2017,6,114439119
2017,6,114439300
2017,6,114439299
2017,6,114439533
2017,3,114439532
2017,6,114439532
2017,6,114439638
2017,6,114439640
2017,6,114439906
2017,8,114439906
2017,6,114439902
2017,8,114439902
2017,2,114441111
2017,3,114441111
2017,6,114441111
2017,3,114416930
2017,6,114416930
2017,7,114416930
2017,6,114417090
2017,6,114418531
2017,3,114418533
2017,6,114418746
2017,6,114421695
2017,6,114421699
2017,6,114422230
2017,6,114422583
2017,6,114423093
2017,6,114424491
2017,8,114424491
2017,6,114425376
2017,6,114430469
2017,6,114430595
2017,6,114433312
2017,6,114433712
2017,6,114434056
2017,6,114437587
2017,6,114438354
2017,6,114438775
2017,6,114439132
2017,6,114439244
2017,6,114439241
2017,6,114439619
2017,6,114439795
2017,6,114439793
2017,6,114440001
2017,6,114440008
2017,6,114440097
2017,6,114440885
2017,6,114440887
2017,6,114441009
2017,6,114443975
2017,6,114444243
2017,6,114444247
2017,6,114445145
2017,6,114445144
2017,6,114444725
2017,6,114445143
2017,6,114445141
2017,6,114445149
2017,6,114445173
2017,6,114445192
2017,6,114445188
2017,6,114976820
2017,6,114978142
2017,6,114979477
2017,6,114979489
2017,6,114979473
2017,3,114979473
2017,6,114963035
2017,6,114964360
2017,6,114964351
2017,6,114964353
2017,6,114964692
2017,6,114964687
2017,6,114965704
2017,7,114965704
2017,8,114965704
2017,6,114967190
2017,7,114967190
2017,6,114968405
2017,6,114969761
2017,6,114969758
2017,8,114969758
2017,6,114970462
2017,6,114970551
2017,8,114970551
2017,6,114972615
2017,6,114973159
2017,2,114973450
2017,6,114973450
2017,8,114973450
2017,2,114973449
2017,6,114973449
2017,8,114973449
2017,6,114973764
2017,6,114973811
2017,1,114976112
2017,6,114976845
2017,7,114976845
2017,6,114977168
2017,6,114977171
2017,3,114977224
2017,6,114977727
2017,6,114977807
2017,5,114978370
2017,6,114978370
2017,8,114978370
2017,6,114980753
2017,6,114980750
2017,6,114956067
2017,6,114956467
2017,3,114957384
2017,3,114957381
2017,6,114957381
2017,2,114958571
2017,3,114958802
2017,6,114958801
2017,6,114961916
2017,6,114961915
2017,6,114962092
2017,7,114962092
2017,8,114962092
2017,6,114962089
2017,7,114962089
2017,1,114962536
2017,6,114962825
2017,6,114962827
2017,1,114962841
2017,6,114963954
2017,6,114964723
2017,6,114964721
2017,4,114965188
2017,8,114965376
2017,6,114965627
2017,3,114966177
2017,6,114966780
2017,6,114967002
2017,6,114967001
2017,6,114968318
2017,6,114968733
2017,6,114968732
2017,6,114971093
2017,6,114972806
2017,1,114973433
2017,6,114973433
2017,6,114973684
2017,6,114973682
2017,6,114973787
2017,8,114976486
2017,6,114976551
2017,6,114976567
2017,6,114976732
2017,7,114976732
2017,6,114977153
2017,6,114977151
2017,2,114978634
2017,6,114979930
2017,7,114981425
2017,8,114981425
2017,7,114981418
2017,8,114981418
2017,8,114981548
2017,8,114981547
2017,6,114982360
2017,6,114982363
2017,2,114982972
2017,6,114982972
2017,8,114982974
2017,6,114983109
2017,7,114983109
2017,8,114983109
2017,6,114983106
2017,7,114983106
2017,8,114983106
2017,6,114983591
2017,8,114983591
2017,6,114983592
2017,8,114983592
2017,6,114985363
2017,6,114986738
2017,6,114987051
2017,6,114987048
2017,6,114988258
2017,6,114988424
2017,7,114989905
2017,6,114990195
2017,6,114991296
2017,6,114991300
2017,6,114991345
2017,6,114991344
2017,6,114991431
2017,6,114991415
2017,6,114991422
2017,6,114991539
2017,6,114991629
2017,6,114991727
2017,6,114991831
2017,6,114991835
2017,6,114414846
2017,6,114414845
2017,8,114415391
2017,8,114416355
2017,6,114417425
2017,6,114418653
2017,6,114420834
2017,6,114423746
2017,6,114429782
2017,8,114429782
2017,6,114430155
2017,6,114430356
2017,6,114430586
2017,6,114431834
2017,6,114433318
2017,6,114433644
2017,6,114433881
2017,6,114435027
2017,6,114435029
2017,6,114435031
2017,6,114439075
2017,6,114439549
2017,7,114439549
2017,8,114439549
2017,6,114439683
2017,7,114439683
2017,8,114439683
2017,6,114439684
2017,7,114439684
2017,8,114439684
2017,6,114439798
2017,8,114439798
2017,6,114439801
2017,8,114439801
2017,6,114442138
2017,6,114442368
2017,6,114442363
2017,6,114442567
2017,6,114442637
2017,6,114443801
2017,6,114444274
2017,6,114444272
2017,8,114444272
2017,6,114445129
2017,6,114445319
2017,3,114958293
2017,6,114958293
2017,6,114959317
2017,3,114959838
2017,6,114959838
2017,8,114959838
2017,6,114959840
2017,6,114959842
2017,6,114962823
2017,3,114963002
2017,6,114963002
2017,6,114963067
2017,6,114964034
2017,3,114965719
2017,6,114965726
2017,7,114966056
2017,8,114966056
2017,6,114966971
2017,6,114966974
2017,6,114967192
2017,8,114967192
2017,6,114967686
2017,6,114967755
2017,6,114968375
2017,6,114968374
2017,8,114968576
2017,3,114970464
2017,6,114970464
2017,8,114970464
2017,3,114970467
2017,6,114970467
2017,8,114970467
2017,5,114970820
2017,6,114970820
2017,7,114970820
2017,6,114971014
2017,6,114971139
2017,6,114971134
2017,6,114972502
2017,6,114972499
2017,6,114973454
2017,8,114973454
2017,6,114973807
2017,6,114973797
2017,6,114975549
2017,6,114975810
2017,6,114975947
2017,6,114976107
2017,6,114978060
2017,3,114978126
2017,6,114978989
2017,6,114982146
2017,6,114982689
2017,3,114982681
2017,6,114982681
2017,3,114982850
2017,6,114982850
2017,7,114982850
2017,6,114982912
2017,8,114983100
2017,8,114983103
2017,6,114983211
2017,7,114983211
2017,6,114983215
2017,7,114983215
2017,6,114983497
2017,6,114983587
2017,6,114984946
2017,6,114985369
2017,6,114987088
2017,6,114987094
2017,6,114987092
2017,6,114988283
2017,6,114988272
2017,6,114988264
2017,6,114988673
2017,6,114988976
2017,6,114989314
2017,6,114989705
2017,6,114990216
2017,6,114990218
2017,2,114990593
2017,6,114990611
2017,3,114990611
2017,6,114991777
2017,6,114991780
2017,6,114991811
2017,6,114957739
2017,6,114961267
2017,6,114962862
2017,6,114963150
2017,6,114963151
2017,6,114964050
