"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2017,21,116312464
2017,21,116313452
2017,21,116313870
2017,21,116314063
2017,21,116314966
2017,21,116315397
2017,21,116316900
2017,21,116316958
2017,21,116316964
2017,21,116317192
2017,21,116317196
2017,21,116317234
2017,21,116317257
2017,21,116317317
2017,21,116317631
2017,21,116317633
2017,21,116317747
2017,21,116317785
2017,21,116317904
2017,21,116318111
2017,21,116318138
2017,21,116318202
2017,21,116318354
2017,21,116318426
2017,21,116318485
2017,21,116319089
2017,21,116319206
2017,21,116319226
2017,21,116319304
2017,21,116319320
2017,21,116319455
2017,21,116319503
2017,21,116319638
2017,21,116319727
2017,21,116319985
2017,21,116320076
2017,21,116320075
2017,21,116342180
2017,21,116342457
2017,21,116342490
2017,21,116342721
2017,21,116342790
2017,21,116343099
2017,21,116343151
2017,21,116343192
2017,21,116343290
2017,21,116343407
2017,21,116343481
2017,21,116343733
2017,21,116343732
2017,21,116343872
2017,21,116343896
2017,21,116343951
2017,21,116344196
2017,21,116344727
2017,21,116347102
2017,21,116347481
2017,21,116347756
2017,21,116347766
2017,21,116347887
2017,21,116347989
2017,21,116348308
2017,21,116348659
2017,21,116349370
2017,21,116349375
2017,21,116349460
2017,21,116324053
2017,21,116324055
2017,21,116324363
2017,21,116324365
2017,21,116324686
2017,21,117553046
2017,21,117553073
2017,21,117553114
2017,21,117553126
2017,21,116325477
2017,21,116325515
2017,21,116325860
2017,21,116325941
2017,21,117553163
2017,21,116326120
2017,21,117553251
2017,21,117553301
2017,21,116326830
2017,21,116326849
2017,21,116327367
2017,21,116327411
2017,21,116327442
2017,21,116327851
2017,21,116327961
2017,21,116327965
2017,21,116328010
2017,21,116328038
2017,21,116328081
2017,21,116328101
2017,21,116328200
2017,21,116328278
2017,21,116328429
2017,21,116328467
2017,21,116328497
2017,21,116328493
2017,21,117553784
2017,21,116328540
2017,21,116328545
2017,21,116328668
2017,21,116328728
2017,21,116328783
2017,21,116328827
2017,21,116328788
2017,21,116328837
2017,21,116328859
2017,21,116328943
2017,21,116328920
2017,21,116328996
2017,21,116329112
2017,21,116329160
2017,21,116329162
2017,21,116329172
2017,21,116329264
2017,21,116329257
2017,21,116329368
2017,21,116329405
2017,21,117553855
2017,21,116329453
2017,21,116329468
2017,21,116329471
2017,21,116329477
2017,21,116329585
2017,21,117553898
2017,21,116329658
2017,21,116329748
2017,21,116329894
2017,21,116329940
2017,21,116329970
2017,21,116330027
2017,21,116330105
2017,21,116330119
2017,21,116330197
2017,21,116330253
2017,21,116330321
2017,21,116330356
2017,21,116330493
2017,21,116330494
2017,21,116330508
2017,21,117554282
2017,21,117554289
2017,21,117554288
2017,21,116330576
2017,21,116330588
2017,21,116330666
2017,21,116330756
2017,21,116330769
2017,21,116330762
2017,21,116330793
2017,21,116330792
2017,21,116330907
2017,21,116330911
2017,21,116330916
2017,21,116330924
2017,21,116330945
2017,21,116330980
2017,21,116331134
2017,21,116331160
2017,21,116331227
2017,21,116331217
2017,21,117554458
2017,21,116331422
2017,21,116331510
2017,21,116331549
2017,21,116331613
2017,21,116331612
2017,21,117554495
2017,21,116331947
2017,21,116331974
2017,21,116331982
2017,21,116332086
2017,21,116332108
2017,21,116332208
2017,21,117554563
2017,21,117554649
2017,21,116332384
2017,21,116332431
2017,21,117554728
2017,21,116332445
2017,21,117554799
2017,21,117554805
2017,21,116332553
2017,21,116332556
2017,21,116332590
2017,21,117554850
2017,21,116332629
2017,21,116332648
