"DATA_YEAR","VICTIM_ID","INJURY_ID"
2017,103855572,5
2017,103855678,4
2017,103856051,8
2017,103856051,4
2017,103856051,6
2017,103857894,4
2017,103860537,5
2017,103861491,4
2017,103861654,5
2017,103863193,5
2017,103863176,5
2017,103863168,4
2017,103863547,5
2017,103864369,4
2017,103866928,5
2017,103867048,5
2017,103867058,5
2017,103867237,5
2017,103867863,5
2017,103867870,5
2017,103867851,4
2017,103848129,4
2017,103849845,2
2017,103849845,3
2017,103851021,5
2017,103851610,5
2017,103851760,5
2017,103851750,5
2017,103852468,4
2017,103852742,5
2017,103853954,5
2017,103854158,4
2017,103857058,5
2017,103857552,5
2017,103858803,5
2017,103861346,4
2017,103863402,5
2017,103863410,5
2017,103863482,5
2017,103863702,5
2017,103863785,4
2017,103863907,5
2017,103865083,5
2017,103865088,4
2017,103866893,4
2017,103866924,5
2017,103867093,4
2017,102627067,5
2017,102627920,1
2017,102627920,4
2017,101313863,5
2017,101313857,4
2017,101314409,5
2017,101314529,5
2017,101315314,5
2017,101315984,4
2017,101316596,4
2017,101316674,4
2017,101316674,6
2017,101317102,5
2017,101317462,5
2017,101317869,4
2017,101318328,4
2017,101318335,4
2017,101318352,4
2017,102626973,5
2017,102628284,3
2017,102628546,5
2017,102632622,4
2017,102633128,5
2017,102634045,3
2017,102634050,6
2017,102634718,4
2017,102634723,5
2017,102635886,4
2017,102636527,4
2017,102637000,5
2017,102637456,5
2017,102638048,4
2017,102638100,1
2017,102638100,4
2017,102639725,5
2017,102639776,4
2017,102640339,4
2017,102641318,5
2017,102642752,4
2017,102643542,5
2017,102645531,5
2017,102649330,4
2017,102649317,4
2017,102651465,4
2017,102652485,5
2017,102652627,4
2017,102652678,4
2017,102652676,5
2017,102652803,4
2017,102652831,3
2017,102652831,2
2017,102652831,6
2017,102653431,4
2017,102654746,4
2017,102657310,5
2017,102660376,5
2017,102660606,1
2017,102660606,3
2017,102661905,5
2017,102664883,4
2017,102664980,4
2017,102665386,5
2017,102665541,4
2017,102627387,5
2017,102627385,5
2017,102627433,5
2017,102627560,4
2017,102627563,5
2017,102628100,5
2017,102629094,4
2017,102631271,5
2017,102665436,4
2017,102627983,4
2017,102664687,5
2017,102628435,4
2017,102630365,4
2017,102630982,5
2017,102631399,4
2017,102636457,5
2017,102636455,5
2017,102638542,5
2017,102638527,5
2017,102639149,4
2017,102641065,5
2017,102641320,4
2017,102643246,5
2017,102644159,4
2017,102644720,4
2017,102644725,4
2017,102646917,4
2017,102648780,4
2017,102649013,2
2017,102649137,4
2017,102649225,4
2017,102649461,4
2017,102649488,4
2017,102649534,5
2017,102649540,5
2017,102650176,4
2017,102651902,4
2017,102652489,4
2017,102652735,5
2017,102653971,5
2017,102657338,5
2017,102657837,4
2017,102660560,5
2017,102664555,4
2017,102665398,4
2017,102665429,4
2017,102665510,5
2017,102665465,5
2017,102665571,5
2017,102665492,5
2017,102665440,5
2017,102665525,5
2017,102665451,5
2017,102665589,5
2017,102665548,5
2017,102665669,4
2017,103416828,4
2017,103417892,6
2017,103418453,3
2017,103420397,5
2017,103420444,5
2017,103421290,5
2017,103421480,2
2017,103421480,4
2017,103421820,5
2017,103422098,5
2017,103422269,4
2017,103422633,5
2017,103423651,5
2017,103423810,4
2017,103423844,5
2017,103423868,4
2017,102629895,4
2017,102631995,4
2017,102632269,4
2017,102633520,4
2017,102634147,5
2017,102634185,5
2017,102636644,4
2017,102639186,5
2017,102640142,4
2017,102640520,4
2017,102640968,4
2017,102641402,4
2017,102641839,3
2017,102641839,4
2017,102641966,5
2017,102642710,5
2017,102646883,4
2017,102646991,5
2017,102647698,5
2017,102648371,4
2017,102648500,5
2017,102648645,5
2017,102649268,4
2017,102649421,5
2017,102649599,5
2017,102650478,5
2017,102650815,4
2017,102653370,4
2017,102653792,4
2017,102654078,4
2017,102654072,4
2017,102654072,7
2017,102656987,5
2017,102657145,4
2017,102658403,5
2017,102660908,5
2017,102662163,4
2017,102633340,5
2017,102633565,4
2017,102634109,5
2017,102635429,5
2017,102635749,6
2017,102635970,5
2017,102636609,3
2017,102636609,4
2017,102636609,8
2017,102636822,4
2017,102637627,5
2017,102638097,4
2017,102638120,1
2017,102638327,4
2017,102638819,4
2017,102639101,5
2017,102639300,4
2017,102639501,4
2017,102639507,5
2017,102639980,5
2017,102640020,4
2017,102642386,4
2017,102642761,4
2017,102644755,3
2017,102644755,4
2017,102645786,5
2017,102647706,4
2017,102648521,4
2017,102649423,4
2017,102649838,5
2017,102649874,4
2017,102651106,6
2017,102651106,2
2017,102652141,5
2017,102652151,5
2017,102652607,5
2017,102652749,5
2017,102652971,4
2017,102653257,5
2017,102654256,4
2017,102655647,4
2017,102656912,4
2017,102658146,5
2017,102658418,2
2017,102658414,2
2017,102658414,6
2017,102658418,4
2017,102658414,3
2017,102658414,1
2017,102658667,5
2017,102659632,4
2017,102663160,4
2017,102663166,4
2017,102663494,5
2017,102664373,4
2017,102665515,4
2017,102666783,5
2017,102666773,4
2017,102666939,4
2017,102667114,5
2017,102667109,4
2017,102656883,5
2017,102657629,5
2017,102657766,5
2017,102659356,5
2017,102660210,5
2017,102660613,4
2017,102662680,4
2017,102662809,1
2017,102663499,5
2017,102664655,5
2017,102664660,4
2017,102665034,5
2017,102665350,4
2017,103424985,5
2017,103425252,5
2017,103425583,5
2017,103426094,5
2017,103426253,5
2017,103426304,4
2017,103427674,5
2017,103823181,4
2017,103825768,4
2017,103825759,4
2017,103825924,4
2017,103826928,4
2017,103827175,5
2017,103827367,4
2017,103828061,5
2017,103831296,5
2017,103834576,5
2017,103835330,5
2017,103835918,5
2017,103836145,4
2017,103837835,5
2017,103838064,5
2017,103838203,5
2017,103838995,5
2017,103841212,5
2017,103843174,4
2017,103849068,5
2017,103849336,5
2017,103849507,4
2017,103849814,4
2017,103856018,4
2017,103857184,4
2017,103858508,4
2017,103858618,4
2017,103859418,5
2017,103859406,5
2017,103860036,4
2017,103860027,4
2017,103860329,4
2017,103860579,4
2017,103860645,5
2017,103861661,4
2017,103862751,5
2017,103863821,5
2017,103863923,5
2017,103864664,5
2017,103866287,4
2017,103866733,4
2017,103866932,5
2017,103866927,5
2017,103866992,4
2017,103867090,4
2017,103868038,4
2017,103868693,5
2017,103869037,5
2017,103869217,4
2017,103869689,5
2017,103048842,5
2017,103052329,5
2017,103052547,5
2017,103052556,5
2017,103054754,5
2017,103054829,1
2017,103056083,4
2017,103057613,5
2017,103057609,5
2017,103057909,5
2017,103058076,4
2017,103062147,4
2017,103062147,2
2017,103065142,5
2017,103066212,5
2017,103075611,4
2017,103078764,5
2017,103078901,4
2017,103820869,5
2017,103820900,4
2017,103822113,5
2017,103822110,5
2017,103822789,4
2017,103823392,5
2017,103823930,5
2017,103824007,5
2017,103824091,5
2017,103825284,4
2017,103825347,4
2017,103825650,5
2017,103826007,5
2017,103827962,5
2017,103829540,5
2017,103829526,5
2017,103829518,5
2017,103829514,5
2017,103829767,5
2017,103829816,5
2017,103829840,4
2017,103830179,5
2017,103830710,5
2017,103833067,5
2017,103833074,5
2017,103834418,5
2017,103835173,4
2017,103835530,5
2017,103835750,4
2017,103836181,5
2017,103836175,4
2017,103836408,5
2017,103836522,5
2017,103836712,4
2017,103836715,4
2017,103837017,5
2017,103837784,5
2017,103837884,4
2017,103838112,4
2017,103838710,4
2017,103838704,4
2017,103838731,4
2017,103838730,4
2017,103839565,4
2017,103840311,5
2017,103840639,5
2017,103840643,5
2017,103840682,4
2017,103840682,2
2017,103840937,4
2017,103841020,5
2017,103841090,4
2017,103841263,4
2017,103841563,4
2017,103842381,4
2017,103842596,5
2017,103842585,5
2017,103842971,5
2017,103843394,5
2017,103843735,5
2017,103843935,4
2017,103844702,5
2017,103844788,5
2017,103845090,5
2017,103845101,5
2017,103845688,4
2017,103845705,4
2017,103845672,5
2017,103846150,2
2017,103846150,4
2017,103846243,5
2017,103846655,5
2017,103847116,5
2017,103847518,5
2017,103849229,5
2017,101294706,5
2017,101297757,5
2017,101299084,4
2017,101301365,5
2017,101302445,5
2017,101302429,5
2017,101302423,5
2017,101302452,5
2017,101303210,4
2017,101303314,4
2017,101303351,4
2017,101304098,4
2017,101304096,4
2017,101304204,5
2017,101307106,4
2017,101308574,4
2017,101310692,4
2017,101311001,5
2017,101311345,5
2017,101311358,5
2017,101313287,4
2017,101313724,5
2017,101313837,4
2017,101314434,5
2017,101314436,5
2017,101317095,5
2017,101317106,5
2017,101317304,4
2017,101317476,4
2017,101317884,4
2017,105390614,5
2017,105390611,5
2017,103409461,5
2017,103409774,4
2017,103411116,5
2017,103411490,6
2017,103853111,5
2017,103411788,5
2017,103417194,4
2017,103417973,5
2017,103418008,5
2017,103418009,4
2017,103419509,5
2017,103424645,5
2017,103425206,4
2017,103425339,5
2017,103425512,5
2017,103425591,5
2017,105391437,4
2017,105391426,4
2017,103426655,5
2017,103426756,4
2017,105392141,5
2017,105395837,4
2017,105395976,5
2017,105396672,5
