"year","state_id","state_abbr","state_name","population","violent_crime","homicide","rape_legacy","rape_revised","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","caveats"
2005,35,"NJ","New Jersey",8703150,30919,417,1208,,13215,16079,203391,38980,136728,27683,""
2006,35,"NJ","New Jersey",8724560,30550,427,1201,,13360,15562,198820,39384,134687,24749,""
2007,35,"NJ","New Jersey",8685920,28544,381,1032,,12567,14564,192338,37234,133145,21959,""
2008,35,"NJ","New Jersey",8682661,28351,376,1122,,12701,14152,199127,40402,138545,20180,""
2009,35,"NJ","New Jersey",8707739,27113,319,1041,,11639,14114,180752,36945,128303,15504,""
2010,35,"NJ","New Jersey",8799593,27055,371,981,,11818,13885,183042,38732,128754,15556,""
2011,35,"NJ","New Jersey",8834773,27203,380,1006,,12209,13608,189719,43238,129066,17415,""
2012,35,"NJ","New Jersey",8867749,25727,388,1035,,11385,12919,181481,42338,122662,16481,""
2013,35,"NJ","New Jersey",8911502,25748,404,861,1189,12084,12071,167634,35883,118005,13746,""
2014,35,"NJ","New Jersey",8938844,23319,352,953,1280,10499,11188,154945,31707,111534,11704,""
2015,35,"NJ","New Jersey",8935421,22879,363,1019,1373,9729,11414,145701,27960,105963,11778,""
2016,35,"NJ","New Jersey",8978416,21861,378,1453,1454,8940,11089,138012,25229,101459,11324,""
2017,35,"NJ","New Jersey",9005644,20604,324,0,1505,7895,10880,140086,23891,104025,12170,""
1995,36,"NM","New Mexico",1685000,13804,148,954,,2604,10098,94508,24383,61478,8647,""
1996,36,"NM","New Mexico",1713000,14399,197,1088,,2782,10332,98698,23586,65139,9973,""
1997,36,"NM","New Mexico",1730000,14762,134,872,,2966,10790,104721,25126,67188,12407,""
1998,36,"NM","New Mexico",1737000,16700,190,957,,2839,12714,100011,24213,65031,10767,""
1999,36,"NM","New Mexico",1739844,14520,170,944,,2579,10827,89220,21481,59613,8126,""
2000,36,"NM","New Mexico",1819046,13786,135,922,,2499,10230,86605,21339,57925,7341,""
2001,36,"NM","New Mexico",1830935,14288,99,850,,2695,10644,83095,19552,56406,7137,""
2002,36,"NM","New Mexico",1852044,13719,152,1027,,2206,10334,80477,19634,53406,7437,""
2003,36,"NM","New Mexico",1878562,12535,116,940,,1937,9542,76816,18997,50595,7224,""
2004,36,"NM","New Mexico",1903006,13081,169,1039,,2062,9811,79895,19924,52069,7902,""
2005,36,"NM","New Mexico",1925985,12448,144,1041,,1893,9370,79575,20939,50707,7929,""
2006,36,"NM","New Mexico",1954599,12797,134,1073,,2095,9495,76000,20906,45864,9230,""
2007,36,"NM","New Mexico",1969915,13311,183,1028,,2323,9777,75168,20823,45442,8903,""
2008,36,"NM","New Mexico",1984356,12967,161,1118,,2151,9537,75718,20706,46995,8017,""
2009,36,"NM","New Mexico",2009671,12709,198,1069,,1932,9510,74639,21955,46182,6502,""
2010,36,"NM","New Mexico",2065913,12147,140,959,,1616,9432,70776,21023,44503,5250,""
2011,36,"NM","New Mexico",2078674,11904,158,856,,1720,9170,73549,21419,46730,5400,""
2012,36,"NM","New Mexico",2083540,11660,116,957,,1847,8740,75094,21384,48247,5463,""
2013,36,"NM","New Mexico",2086895,12990,123,1135,1565,1832,9470,78958,21828,51146,5984,""
2014,36,"NM","New Mexico",2085567,12465,101,1070,1481,2086,8797,73877,18505,49082,6290,""
2015,36,"NM","New Mexico",2080328,13672,117,1218,1663,2485,9407,77212,17084,51485,8643,""
2016,36,"NM","New Mexico",2085432,14585,139,1526,1527,2737,10182,81930,17280,52907,11743,""
2017,36,"NM","New Mexico",2088070,16359,148,0,1259,3722,11230,82306,17917,52617,11772,""
1995,37,"NV","Nevada",1530000,14461,163,937,,4966,8395,86203,20235,54563,11405,""
1996,37,"NV","Nevada",1603000,13005,220,856,,4931,6998,83047,19558,52295,11194,""
1997,37,"NV","Nevada",1677000,13395,187,1005,,5071,7132,88307,21975,53112,13220,""
1998,37,"NV","Nevada",1747000,11244,170,911,,4453,5710,81006,19873,47367,13766,""
1999,37,"NV","Nevada",1809253,10311,165,943,,4209,4994,73874,17613,43167,13094,""
2000,37,"NV","Nevada",1998257,10474,129,860,,4543,4942,74823,17526,44125,13172,""
2001,37,"NV","Nevada",2097722,12359,180,883,,4932,6364,77486,17711,45073,14702,""
2002,37,"NV","Nevada",2167455,13856,181,928,,5118,7629,83896,18951,47459,17486,""
2003,37,"NV","Nevada",2242207,13813,197,871,,5225,7520,96128,21958,53321,20849,""
2004,37,"NV","Nevada",2332898,14379,172,954,,4905,8348,98215,23142,52438,22635,""
2005,37,"NV","Nevada",2412301,14654,206,1016,,4702,8730,102424,23481,52012,26931,""
2006,37,"NV","Nevada",2495529,18687,226,1092,,7038,10331,102338,24902,50429,27007,""
2007,37,"NV","Nevada",2565382,19365,193,1096,,6938,11138,97118,24911,49844,22363,""
2008,37,"NV","Nevada",2600167,18973,165,1106,,6486,11216,90006,24254,49814,15938,""
2009,37,"NV","Nevada",2643085,18639,156,1024,,6028,11431,80976,22115,46463,12398,""
2010,37,"NV","Nevada",2704283,17929,158,965,,5298,11508,75004,22286,42533,10185,""
2011,37,"NV","Nevada",2720028,15452,139,913,,4308,10092,70075,20342,40156,9577,""
2012,37,"NV","Nevada",2754354,16763,124,931,,4918,10790,77510,22120,45372,10018,""
2013,37,"NV","Nevada",2791494,16888,163,1090,1482,5183,10060,79177,23047,46132,9998,""
2014,37,"NV","Nevada",2838281,18043,170,987,1357,5954,10562,74574,21924,42466,10184,""
2015,37,"NV","Nevada",2883758,20118,178,1232,1688,6287,11965,77137,22360,43426,11351,""
2016,37,"NV","Nevada",2939254,19924,228,1733,1729,6338,11629,75922,18816,43949,13157,""
2017,37,"NV","Nevada",2998039,16667,274,0,1890,4841,9662,78322,20049,45461,12812,""
1995,38,"NY","New York",18136000,152683,1550,4290,,72492,74351,674342,146562,425184,102596,""
1996,38,"NY","New York",18185000,132206,1353,4174,,61822,64857,619250,129828,399522,89900,""
1997,38,"NY","New York",18137000,124890,1093,4075,,56094,63628,584438,118306,386435,79697,""
1998,38,"NY","New York",18175000,115915,924,3843,,49125,62023,536287,104821,363295,68171,""
1999,38,"NY","New York",18196601,107147,903,3563,,43821,58860,489596,93217,338118,58261,""
2000,38,"NY","New York",18976457,105111,952,3530,,40539,60090,483078,87946,340901,54231,""
2001,38,"NY","New York",19084350,98022,960,3546,,36555,56961,458003,80400,329316,48287,""
2002,38,"NY","New York",19134293,95030,909,3885,,36653,53583,442091,76700,318025,47366,""
2003,38,"NY","New York",19212425,89486,934,3775,,35790,48987,432079,75453,311422,45204,""
2004,38,"NY","New York",19280727,84914,889,3608,,33506,46911,422734,70696,311036,41002,""
2005,38,"NY","New York",19315721,85839,874,3636,,35179,46150,405990,68034,302220,35736,""
2006,38,"NY","New York",19306183,84016,922,3168,,34459,45467,398577,68617,297827,32133,""
2007,38,"NY","New York",19297729,79962,805,2928,,31085,45144,383624,64914,290681,28029,""
2008,38,"NY","New York",19490297,77546,836,2798,,31787,42125,388599,65544,297962,25093,""
2009,38,"NY","New York",19541453,75110,781,2582,,28141,43606,377537,62769,292897,21871,""
2010,38,"NY","New York",19395206,76492,868,2797,,28630,44197,379710,65839,293232,20639,""
2011,38,"NY","New York",19501616,77463,769,2751,,28405,45538,371837,65227,287361,19249,""
2012,38,"NY","New York",19576125,79535,683,2837,,28633,47382,375268,64389,293562,17317,"2012 -because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."
2013,38,"NY","New York",19695680,77563,644,2575,3548,27241,46130,358603,56444,286676,15483,""
2014,38,"NY","New York",19748858,75972,616,4316,6025,24036,45295,339113,50738,272624,15751,""
2015,38,"NY","New York",19747183,75126,613,4414,6141,23879,44493,317225,44117,257837,15271,""
2016,38,"NY","New York",19836286,74315,629,6260,6281,22310,45095,305224,39850,250990,14384,""
2017,38,"NY","New York",19849399,70799,548,0,6324,20108,43819,300555,35002,252143,13410,""
1995,39,"OH","Ohio",11151000,53799,600,4835,,19931,28433,437424,93539,297624,46261,""
1996,39,"OH","Ohio",11173000,47896,538,4617,,18336,24405,449935,93336,311071,45528,""
1997,39,"OH","Ohio",11186000,48706,523,4566,,17755,25862,455799,94972,315908,45419,""
1998,39,"OH","Ohio",11209000,40628,443,4543,,14960,20682,444438,90805,310612,43021,""
1999,39,"OH","Ohio",11256654,35616,397,4129,,14405,16685,414264,87023,288049,39192,""
2000,39,"OH","Ohio",11353140,37935,418,4271,,15610,17636,420939,88636,293277,39026,""
2001,39,"OH","Ohio",11389785,40023,452,4466,,17199,17906,435115,96910,295976,42229,""
2002,39,"OH","Ohio",11408699,40128,526,4809,,17871,16922,428976,99164,287045,42767,""
2003,39,"OH","Ohio",11437680,38185,526,4660,,16895,16104,417483,95083,281383,41017,""
2004,39,"OH","Ohio",11450143,38787,506,4744,,17429,16108,419337,96518,282168,40651,""
2005,39,"OH","Ohio",11470685,40162,590,4671,,18673,16228,420705,100183,279051,41471,""
2006,39,"OH","Ohio",11478006,41491,560,4770,,19418,16743,423334,105639,279718,37977,""
2007,39,"OH","Ohio",11466917,40759,529,4661,,18351,17218,397681,99049,264677,33955,""
2008,39,"OH","Ohio",11485910,40436,547,4531,,18706,16652,391667,102428,260788,28451,""
2009,39,"OH","Ohio",11542645,38305,527,4119,,17670,15989,376446,104009,249777,22660,""
2010,39,"OH","Ohio",11537968,36306,479,3730,,16486,15611,376836,107125,248581,21130,""
2011,39,"OH","Ohio",11541007,35218,500,3679,,15991,15048,380572,112901,246744,20927,""
2012,39,"OH","Ohio",11553031,34827,478,3813,,15396,15140,370435,105312,245372,19751,""
2013,39,"OH","Ohio",11572005,33722,478,3594,4391,14483,14370,338414,91090,227799,19525,""
2014,39,"OH","Ohio",11596998,33130,464,3825,5228,12780,14658,322517,79466,224942,18109,""
2015,39,"OH","Ohio",11605090,34373,522,3990,5441,12617,15793,303743,69994,216354,17395,""
2016,39,"OH","Ohio",11622554,35759,683,5589,5754,12574,16748,300945,67081,214102,19762,""
2017,39,"OH","Ohio",11658609,34683,710,0,5859,11605,16509,282034,58573,203208,20253,""
1995,40,"OK","Oklahoma",3278000,21770,400,1461,,3788,16121,161693,41694,103727,16272,""
1996,40,"OK","Oklahoma",3301000,19710,223,1545,,3519,14423,166892,41447,109506,15939,""
1997,40,"OK","Oklahoma",3317000,18560,229,1517,,3446,13368,163698,40015,109039,14644,""
1998,40,"OK","Oklahoma",3347000,18053,204,1513,,3078,13258,149426,38268,97593,13565,""
1999,40,"OK","Oklahoma",3358044,17066,231,1375,,2785,12675,140220,34472,93616,12132,""
2000,40,"OK","Oklahoma",3450654,17177,182,1422,,2615,12958,140125,31661,96116,12348,""
2001,40,"OK","Oklahoma",3469577,17726,185,1486,,2746,13309,141679,34573,94537,12569,""
2002,40,"OK","Oklahoma",3489700,17587,163,1573,,2966,12885,148128,35171,100185,12772,""
2003,40,"OK","Oklahoma",3506469,17758,206,1501,,3224,12827,151208,34846,103404,12958,""
2004,40,"OK","Oklahoma",3523546,17635,186,1557,,3090,12802,149472,35244,101271,12957,""
2005,40,"OK","Oklahoma",3543442,18044,187,1481,,3230,13146,143406,35692,93814,13900,""
2006,40,"OK","Oklahoma",3579212,17905,210,1488,,3145,13062,129728,34437,81853,13438,""
2007,40,"OK","Oklahoma",3617316,18234,224,1565,,3392,13053,128714,34367,80747,13600,""
2008,40,"OK","Oklahoma",3642361,19359,215,1471,,3698,13975,126535,35247,80265,11023,""
2009,40,"OK","Oklahoma",3687050,18560,234,1535,,3358,13433,132350,38071,83813,10466,""
2010,40,"OK","Oklahoma",3760184,18100,195,1469,,3345,13091,129464,37848,81303,10313,""
2011,40,"OK","Oklahoma",3784163,17311,212,1410,,3288,12401,127618,36462,80064,11092,""
2012,40,"OK","Oklahoma",3815780,18102,220,1622,,3248,13012,130969,36094,83131,11744,""
2013,40,"OK","Oklahoma",3853118,17187,198,1715,2314,3023,11652,126418,33512,81624,11282,""
2014,40,"OK","Oklahoma",3879610,16052,180,1361,1862,3073,10937,117445,29963,76719,10763,""
2015,40,"OK","Oklahoma",3907414,16746,240,1418,1953,3018,11535,114055,28783,74678,10594,""
2016,40,"OK","Oklahoma",3921207,17855,247,2039,2100,3174,12334,118010,29376,76358,12276,""
2017,40,"OK","Oklahoma",3930864,17934,242,0,2142,3000,12550,113066,28608,72207,12251,""
1995,41,"OR","Oregon",3141000,16408,129,1309,,4332,10638,189765,34640,133075,22050,""
1996,41,"OR","Oregon",3204000,14837,129,1272,,3914,9522,177295,31664,128618,17013,""
1997,41,"OR","Oregon",3243000,14412,95,1306,,3811,9200,188916,33507,136129,19280,""
1998,41,"OR","Oregon",3282000,13778,126,1307,,3452,8893,171545,30442,123841,17262,""
1999,41,"OR","Oregon",3316154,12432,88,1219,,2858,8267,153434,26749,113052,13633,""
2000,41,"OR","Oregon",3421399,12000,70,1286,,2888,7756,153780,25618,114230,13932,""
2001,41,"OR","Oregon",3473441,10650,84,1174,,2749,6643,164524,26648,123034,14842,""
2002,41,"OR","Oregon",3520355,10298,72,1238,,2742,6246,161145,25696,118925,16524,""
2003,41,"OR","Oregon",3564330,10506,68,1218,,2847,6373,169863,28562,122327,18974,""
2004,41,"OR","Oregon",3591363,10724,90,1283,,2751,6600,166475,30072,117868,18535,""
2005,41,"OR","Oregon",3638871,10444,80,1266,,2478,6620,160199,27621,113316,19262,""
2006,41,"OR","Oregon",3700758,10534,88,1219,,2711,6516,137858,24324,98897,14637,""
2007,41,"OR","Oregon",3747455,11015,76,1276,,2864,6799,132773,22979,95157,14637,""
2008,41,"OR","Oregon",3790060,9909,87,1183,,2656,5983,125169,21115,92677,11377,""
2009,41,"OR","Oregon",3825657,9968,88,1202,,2499,6179,114780,19739,85064,9977,""
2010,41,"OR","Oregon",3838332,9648,96,1239,,2421,5892,116657,20035,87494,9128,""
2011,41,"OR","Oregon",3868229,9643,84,1239,,2237,6083,121869,20704,92059,9106,""
2012,41,"OR","Oregon",3899801,9638,91,1159,,2419,5969,126417,22051,94114,10252,""
2013,41,"OR","Oregon",3928068,9536,82,1000,1464,2394,5596,125083,20808,94363,9912,""
2014,41,"OR","Oregon",3971202,10294,84,1165,1620,2270,6320,123142,18690,94177,10275,""
2015,41,"OR","Oregon",4024634,10680,110,1193,1650,2163,6757,119752,18541,90514,10697,""
2016,41,"OR","Oregon",4085989,10983,116,1721,1784,2307,6776,121716,16919,91507,13290,""
2017,41,"OR","Oregon",4142776,11674,104,0,1999,2432,7139,123722,17705,88877,17140,""
1995,42,"PA","Pennsylvania",12072000,51586,755,3046,,22858,24927,354623,67815,236991,49817,""
1996,42,"PA","Pennsylvania",12056000,57905,686,3034,,22784,31401,370851,71357,250758,48736,""
1997,42,"PA","Pennsylvania",12020000,53140,705,3289,,18788,30358,359323,68218,246892,44213,""
1998,42,"PA","Pennsylvania",12001000,50470,633,3223,,19787,26827,342318,63777,235873,42668,""
1999,42,"PA","Pennsylvania",11994016,50431,592,3279,,18670,27890,323021,56037,227750,39234,""
2000,42,"PA","Pennsylvania",12281054,51584,602,3247,,18155,29580,316274,54080,225869,36325,""
2001,42,"PA","Pennsylvania",12303104,50432,651,3467,,17500,28814,313408,54345,223350,35713,""
2002,42,"PA","Pennsylvania",12328827,49578,624,3731,,17163,28060,300868,55610,212441,32817,""
2003,42,"PA","Pennsylvania",12370761,49210,647,3556,,17980,27027,300639,53918,213279,33442,""
2004,42,"PA","Pennsylvania",12394471,50998,650,3535,,18474,28339,299611,54443,214199,30969,""
2005,42,"PA","Pennsylvania",12405348,52761,756,3586,,19214,29205,300444,56134,214916,29394,""
2006,42,"PA","Pennsylvania",12440621,55028,741,3611,,21095,29581,304589,57739,217142,29708,""
2007,42,"PA","Pennsylvania",12432792,51806,725,3443,,19440,28198,293850,56091,211248,26511,""
2008,42,"PA","Pennsylvania",12448279,51044,705,3485,,18873,27981,300294,58687,219115,22492,""
2009,42,"PA","Pennsylvania",12604767,48188,664,3626,,17504,26394,277182,54772,204588,17822,""
2010,42,"PA","Pennsylvania",12717722,46612,653,3472,,16375,26112,276366,55206,204440,16720,""
2011,42,"PA","Pennsylvania",12743948,46189,639,3339,,16165,26046,283442,57966,208604,16872,""
2012,42,"PA","Pennsylvania",12764475,45384,707,3371,,15735,25571,276562,57040,204409,15113,""
2013,42,"PA","Pennsylvania",12781296,42825,611,2728,3795,14739,23680,263176,52000,197410,13766,""
2014,42,"PA","Pennsylvania",12793767,40298,610,2785,3839,13545,22304,246982,45718,188211,13053,""
2015,42,"PA","Pennsylvania",12791904,40348,665,3105,4299,12965,22419,231941,39573,180236,12132,""
2016,42,"PA","Pennsylvania",12787085,40389,674,4433,4459,12314,22942,222394,35178,174147,13069,""
2017,42,"PA","Pennsylvania",12805537,40120,739,0,4201,11793,23387,211220,32057,166178,12985,""
1995,44,"RI","Rhode Island",990000,3643,33,267,,914,2429,38378,9234,24780,4364,""
1996,44,"RI","Rhode Island",990000,3437,25,287,,824,2301,36099,8135,23367,4597,""
1997,44,"RI","Rhode Island",987000,3292,25,363,,707,2197,32777,7083,21499,4195,""
1998,44,"RI","Rhode Island",988000,3084,24,351,,659,2050,31672,6452,21391,3829,""
1999,44,"RI","Rhode Island",990819,2840,36,391,,788,1625,32657,6341,22284,4032,""
2000,44,"RI","Rhode Island",1048319,3121,45,412,,922,1742,33323,6620,22038,4665,""
2001,44,"RI","Rhode Island",1059659,3278,39,416,,986,1837,35742,6824,23875,5043,""
2002,44,"RI","Rhode Island",1068326,3051,41,395,,916,1699,35342,6415,24051,4876,""
2003,44,"RI","Rhode Island",1076084,3074,25,505,,830,1714,32231,5524,22320,4387,""
2004,44,"RI","Rhode Island",1079916,2673,26,320,,731,1596,31166,5465,21623,4078,""
2005,44,"RI","Rhode Island",1073579,2710,34,323,,776,1577,29287,5319,19567,4401,""
2006,44,"RI","Rhode Island",1067610,2460,27,289,,740,1404,27914,5453,18852,3609,""
2007,44,"RI","Rhode Island",1057832,2424,19,258,,760,1387,27576,5206,19175,3195,""
2008,44,"RI","Rhode Island",1050788,2656,31,282,,880,1463,29895,5766,20926,3203,""
2009,44,"RI","Rhode Island",1053209,2678,32,296,,785,1565,27558,5753,19403,2402,""
2010,44,"RI","Rhode Island",1052528,2709,29,298,,782,1600,26959,6124,18432,2403,""
2011,44,"RI","Rhode Island",1050646,2586,20,319,,744,1503,27976,6836,18765,2375,""
2012,44,"RI","Rhode Island",1050304,2657,26,292,,715,1614,27039,5929,18478,2632,""
2013,44,"RI","Rhode Island",1053354,2710,31,333,449,683,1547,25741,5621,17881,2239,""
2014,44,"RI","Rhode Island",1054907,2320,26,264,366,530,1398,22982,4830,16317,1835,""
2015,44,"RI","Rhode Island",1055607,2565,31,342,467,547,1520,20038,3938,14714,1386,""
2016,44,"RI","Rhode Island",1057566,2529,29,442,445,541,1514,18910,3650,14157,1103,""
2017,44,"RI","Rhode Island",1059639,2460,20,0,445,474,1521,18561,3217,13861,1483,""
1995,45,"SC","South Carolina",3673000,36067,292,1737,,6461,27577,186656,46083,126416,14157,""
1996,45,"SC","South Carolina",3699000,36875,332,1821,,6361,28361,192986,47487,129650,15849,""
1997,45,"SC","South Carolina",3760000,37235,314,1837,,6624,28460,193402,46322,131325,15755,""
1998,45,"SC","South Carolina",3836000,34647,306,1753,,5943,26645,186960,44600,126412,15948,""
1999,45,"SC","South Carolina",3885736,32920,258,1587,,5760,25315,173987,39630,119912,14445,""
2000,45,"SC","South Carolina",4012012,33225,291,1660,,6220,25054,181290,40319,125385,15586,""
2001,45,"SC","South Carolina",4062125,33114,330,1769,,5987,25028,186054,42611,126742,16701,""
2002,45,"SC","South Carolina",4103770,33761,298,1959,,5774,25730,183808,43745,123196,16867,""
2003,45,"SC","South Carolina",4148744,33455,303,1952,,5801,25399,187592,43993,127809,15790,""
2004,45,"SC","South Carolina",4197892,33160,286,1772,,5468,25634,190456,43739,130991,15726,""
2005,45,"SC","South Carolina",4246933,32590,314,1862,,5657,24757,185606,42741,126489,16376,""
2006,45,"SC","South Carolina",4321249,33322,362,1834,,5902,25224,184712,42952,125075,16685,""
2007,45,"SC","South Carolina",4407709,34630,364,1773,,6354,26139,189304,45398,126802,17104,""
2008,45,"SC","South Carolina",4479800,32746,307,1686,,6595,24158,189950,45964,126316,17670,""
2009,45,"SC","South Carolina",4561242,30799,305,1663,,5753,23078,178310,45443,119250,13617,""
2010,45,"SC","South Carolina",4637106,27923,265,1551,,5017,21090,181098,46261,121544,13293,""
2011,45,"SC","South Carolina",4673348,27894,320,1678,,4631,21265,183243,47351,122255,13637,""
2012,45,"SC","South Carolina",4723417,26474,332,1712,,4511,19919,181049,45222,122340,13487,""
2013,45,"SC","South Carolina",4771929,24263,305,1739,2233,3965,17760,173261,40930,119730,12601,""
2014,45,"SC","South Carolina",4829160,24038,322,1522,2185,4018,17513,168281,37163,118173,12945,""
2015,45,"SC","South Carolina",4894834,24448,407,1717,2439,3950,17652,162830,34942,114778,13110,""
2016,45,"SC","South Carolina",4959822,25137,358,2387,2491,4071,18217,161534,33149,114455,13930,""
2017,45,"SC","South Carolina",5024369,25432,390,0,2504,3870,18668,160575,31306,115012,14257,""
1995,46,"SD","South Dakota",729000,1513,13,299,,189,1012,20799,3942,15976,881,""
1996,46,"SD","South Dakota",732000,1297,9,300,,138,850,20443,4077,15532,834,""
1997,46,"SD","South Dakota",738000,1457,10,357,,172,918,22491,4088,17545,858,""
1998,46,"SD","South Dakota",738000,1139,10,258,,149,722,18227,3458,14006,763,""
1999,46,"SD","South Dakota",733133,1227,18,336,,103,770,18159,3255,14043,861,""
2000,46,"SD","South Dakota",754844,1259,7,305,,131,816,16252,2896,12558,798,""
2001,46,"SD","South Dakota",758324,1171,7,351,,103,710,16473,3087,12571,815,""
2002,46,"SD","South Dakota",760437,1350,11,361,,117,861,15992,3034,12139,819,""
2003,46,"SD","South Dakota",764905,1329,10,356,,104,859,15324,2878,11572,874,""
2004,46,"SD","South Dakota",770621,1319,17,336,,112,854,14885,3148,10890,847,""
2005,46,"SD","South Dakota",774883,1387,18,377,,145,847,13694,2505,10350,839,""
2006,46,"SD","South Dakota",781919,2071,30,465,,158,1418,13812,3024,9954,834,""
2007,46,"SD","South Dakota",796214,1926,31,433,,118,1344,13829,2647,10398,784,""
2008,46,"SD","South Dakota",804194,2227,37,562,,134,1494,13867,2683,10266,918,""
2009,46,"SD","South Dakota",812383,1777,30,501,,117,1129,14378,2621,10891,866,""
2010,46,"SD","South Dakota",816598,2196,23,385,,154,1634,15188,3192,11196,800,""
2011,46,"SD","South Dakota",823593,2105,20,503,,167,1415,15299,2927,11423,949,""
2012,46,"SD","South Dakota",834047,2701,23,600,,157,1921,17326,3280,12973,1073,""
2013,46,"SD","South Dakota",845510,2733,18,454,507,156,2052,16274,3383,11955,936,""
2014,46,"SD","South Dakota",853304,2801,23,336,478,199,2101,16036,2817,12209,1010,""
2015,46,"SD","South Dakota",857919,3302,33,367,500,215,2554,16739,2969,12576,1194,""
2016,46,"SD","South Dakota",861542,3636,28,509,526,274,2808,17207,3002,12705,1500,""
2017,46,"SD","South Dakota",869666,3771,25,0,595,238,2913,16317,2707,12227,1383,""
1995,47,"TN","Tennessee",5256000,40549,557,2477,,11732,25783,241315,60086,147143,34086,""
1996,47,"TN","Tennessee",5320000,41175,503,2475,,11902,26295,248729,61896,152405,34428,""
1997,47,"TN","Tennessee",5368000,42389,511,3056,,11487,27335,253484,62899,156843,33742,""
1998,47,"TN","Tennessee",5431000,38832,460,2485,,9667,26220,234588,58432,148057,28099,""
1999,47,"TN","Tennessee",5483535,38111,391,2415,,8598,26707,219302,51362,142685,25255,""
2000,47,"TN","Tennessee",5689283,40233,410,2186,,9465,28172,237985,56344,154111,27530,""
2001,47,"TN","Tennessee",5749398,42776,423,2196,,10219,29938,252992,59705,165015,28272,""
2002,47,"TN","Tennessee",5789796,41562,420,2290,,9413,29439,249399,61248,161610,26541,""
2003,47,"TN","Tennessee",5845208,40409,396,2129,,9413,28471,256565,63323,166769,26473,""
2004,47,"TN","Tennessee",5893298,41113,357,2282,,8863,29611,254991,60386,169828,24777,""
2005,47,"TN","Tennessee",5955745,45104,431,2194,,10009,32470,256093,61508,169357,25228,""
2006,47,"TN","Tennessee",6038803,46043,419,2194,,11143,32287,249860,63024,164183,22653,""
2007,47,"TN","Tennessee",6156719,46482,405,2201,,11033,32843,252342,61817,168807,21718,""
2008,47,"TN","Tennessee",6214888,44913,412,2078,,10804,31619,251089,65093,166793,19203,""
2009,47,"TN","Tennessee",6296254,41933,468,2019,,9653,29793,237157,63832,158309,15016,""
2010,47,"TN","Tennessee",6357436,38909,359,2173,,8361,28016,232855,64293,153729,14833,""
2011,47,"TN","Tennessee",6399787,38895,380,2095,,8082,28338,230900,62830,153928,14142,""
2012,47,"TN","Tennessee",6454914,41213,400,2047,,8151,30615,217925,56231,148731,12963,""
2013,47,"TN","Tennessee",6497269,38063,335,1904,2500,7333,27895,207683,51334,144443,11906,""
2014,47,"TN","Tennessee",6547779,39989,369,1870,2595,7268,29757,200911,46798,141464,12649,""
2015,47,"TN","Tennessee",6595056,40816,418,2032,2801,7499,30098,196047,43753,139259,13035,""
2016,47,"TN","Tennessee",6649404,42459,495,2714,2803,7829,31332,191199,40607,135353,15239,""
2017,47,"TN","Tennessee",6715984,43755,527,0,2934,7862,32432,197488,38716,140248,18524,""
1995,48,"TX","Texas",18724000,124303,1693,8563,,33667,80380,940033,202642,632468,104923,""
1996,48,"TX","Texas",19128000,123270,1477,8376,,32804,80613,968732,204390,659414,104928,""
1997,48,"TX","Texas",19439000,117126,1327,8011,,30522,77266,948231,201059,645451,101721,""
1998,48,"TX","Texas",19760000,111566,1346,7913,,28677,73630,898496,194883,606967,96646,""
1999,48,"TX","Texas",20044141,112306,1217,7614,,29405,74070,896261,190362,613862,92037,""
2000,48,"TX","Texas",20851820,113653,1238,7856,,30257,74302,919658,188975,637522,93161,""
2001,48,"TX","Texas",21370983,122155,1332,8169,,35348,77306,976654,204362,669625,102667,""
2002,48,"TX","Texas",21736925,126018,1302,8508,,37580,78628,1004274,212602,688992,102680,""
2003,48,"TX","Texas",22103374,122246,1422,8025,,37017,75782,1016735,219877,698644,98214,""
2004,48,"TX","Texas",22471549,121554,1364,8388,,35817,75985,1010702,220118,696507,94077,""
2005,48,"TX","Texas",22928508,121091,1407,8511,,35790,75383,990293,219828,677042,93423,""
2006,48,"TX","Texas",23507783,121602,1386,8429,,37256,74531,959846,215710,648711,95425,""
2007,48,"TX","Texas",23904380,122014,1419,8460,,38778,73357,985421,228320,663101,94000,""
2008,48,"TX","Texas",24326974,123585,1370,8055,,37739,76421,969865,230046,654435,85384,""
2009,48,"TX","Texas",24782302,121684,1330,8311,,38022,74021,995082,240058,678455,76569,""
2010,48,"TX","Texas",25253466,113231,1249,7622,,32843,71517,951246,228597,654626,68023,""
2011,48,"TX","Texas",25631778,104734,1130,7486,,28620,67498,892810,215755,613131,63924,""
2012,48,"TX","Texas",26060796,106475,1148,7715,,30385,67227,876459,205002,606425,65032,""
2013,48,"TX","Texas",26505637,108757,1140,7610,10456,31810,65351,862289,191062,605440,65787,""
2014,48,"TX","Texas",26979078,109711,1192,8400,11636,31021,65862,813515,168085,577018,68412,""
2015,48,"TX","Texas",27429639,113193,1317,8941,12323,31924,67629,779234,153067,558653,67514,""
2016,48,"TX","Texas",27904862,121064,1478,13367,13446,33298,72842,769892,148796,552106,68990,""
2017,48,"TX","Texas",28304596,124238,1412,0,14470,32267,76089,725328,134066,523221,68041,""
1995,49,"UT","Utah",1951000,6415,76,834,,1309,4196,112417,15623,89202,7592,""
1996,49,"UT","Utah",2000000,6638,63,836,,1377,4362,113079,16965,87542,8572,""
