"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2017,4,120003699
2017,3,120003738
2017,4,120004132
2017,4,120004775
2017,3,120005680
2017,3,120005679
2017,4,117543149
2017,4,117543214
2017,4,117543234
2017,4,117543238
2017,4,117543400
2017,4,117543811
2017,4,117543855
2017,1,117543893
2017,4,117543904
2017,4,117544377
2017,4,117544393
2017,4,117544732
2017,4,117544901
2017,1,117545077
2017,3,117545077
2017,3,117545092
2017,4,117545328
2017,4,117545332
2017,4,117545364
2017,4,117545699
2017,4,117545759
2017,4,117546129
2017,4,117546269
2017,4,117546396
2017,4,117546393
2017,4,113626168
2017,4,113626904
2017,4,113626935
2017,4,113627338
2017,4,113628274
2017,4,113628923
2017,4,113628956
2017,4,113628997
2017,4,113629140
2017,4,113629494
2017,4,113629504
2017,4,113629496
2017,4,113629898
2017,3,113630696
2017,4,113631091
2017,4,113631987
2017,4,113632112
2017,4,113632216
2017,4,113632217
2017,4,113632355
2017,4,113633114
2017,4,113633191
2017,4,113633275
2017,4,113633501
2017,4,113633511
2017,4,113633530
2017,4,113633642
2017,4,113633696
2017,4,113633942
2017,4,113635256
2017,3,113635296
2017,3,113635292
2017,4,113635546
2017,4,113636180
2017,4,113102240
2017,4,113102258
2017,4,113102383
2017,4,113102906
2017,4,113103354
2017,3,113103428
2017,4,113103600
2017,4,113104146
2017,4,113104148
2017,4,113107845
2017,4,113108099
2017,3,113108595
2017,3,113108594
2017,4,113108608
2017,4,113109011
2017,4,113109028
2017,4,113109076
2017,4,113109083
2017,3,113122431
2017,4,113122524
2017,4,113122867
2017,4,113123305
2017,4,113123317
2017,4,113123335
2017,4,113123535
2017,1,113124522
2017,4,113124621
2017,4,113124654
2017,4,113124655
2017,4,113124928
2017,1,113125149
2017,4,113127099
2017,4,113127101
2017,4,113127340
2017,4,113129510
2017,3,113130015
2017,4,113132249
2017,1,113132270
2017,3,113132270
2017,1,113132271
2017,3,113132271
2017,4,113132352
2017,4,113132389
2017,3,113133039
2017,3,113133155
2017,1,113134514
2017,3,113134648
2017,3,113134651
2017,4,113134795
2017,4,113134910
2017,4,113134915
2017,4,113135181
2017,4,113135189
2017,4,113136754
2017,1,113136810
2017,4,113136852
2017,4,113136846
2017,4,113137233
2017,4,113138586
2017,2,113138752
2017,4,113139087
2017,4,113139098
2017,3,113139095
2017,4,113139132
2017,4,113139133
2017,4,113139703
2017,4,113140350
2017,4,113142371
2017,4,113142844
2017,4,113142869
2017,4,113142904
2017,4,113142949
2017,4,113143049
2017,4,113143050
2017,4,113144374
2017,1,113144588
2017,3,113144588
2017,4,113144960
2017,4,113145021
2017,4,113145570
2017,4,113146141
2017,4,113146218
2017,4,113146298
2017,1,113146638
2017,4,113146636
2017,4,113147877
2017,4,113147967
2017,4,113636871
2017,4,113637897
2017,4,113637935
2017,4,113638125
2017,4,113639123
2017,4,113645629
2017,4,113645830
2017,4,113646768
2017,4,113646825
2017,4,113647530
2017,4,113647634
2017,4,113648285
2017,4,113648296
2017,4,113650383
2017,4,113650543
2017,4,113650593
2017,4,113650791
2017,4,113650988
2017,4,113651347
2017,4,113651429
2017,4,113651611
2017,4,113651694
2017,4,113651819
2017,4,113651901
2017,4,113652563
2017,1,113652773
2017,3,113652773
2017,1,113652777
2017,3,113652777
2017,4,113653061
2017,4,113654828
2017,4,113654908
2017,4,113654915
2017,4,113655066
2017,4,113655124
2017,4,113656105
2017,4,113656531
2017,4,113656607
2017,4,113656750
2017,4,113657720
2017,4,113657824
2017,4,113657924
2017,4,113658128
2017,4,113658246
2017,4,113659516
2017,4,113660740
2017,4,113660999
2017,4,113661306
2017,4,113661404
2017,1,113661538
2017,4,113662058
2017,3,113662757
2017,3,113662754
2017,3,113662794
2017,4,115462288
2017,4,115462316
2017,4,115462365
2017,4,115462389
2017,4,115462422
2017,4,115462582
2017,4,115462595
2017,4,115462633
2017,4,115462743
2017,4,115462798
2017,4,115462866
2017,4,115462911
2017,4,115462950
2017,4,115463053
2017,4,115463167
2017,4,115463211
2017,4,113595542
2017,4,113595955
2017,4,113597059
2017,4,113597310
2017,4,113597547
2017,4,113597616
2017,4,113597619
2017,4,113598075
2017,4,113598555
2017,4,113598679
2017,4,113599704
2017,4,113599951
2017,4,113600292
2017,4,113600350
2017,4,113600509
2017,1,113600553
2017,4,113601001
2017,3,113601027
2017,4,113601153
2017,4,113601212
2017,4,113601566
2017,4,113601591
2017,4,113601593
2017,4,113601636
2017,4,113601655
2017,4,113601989
2017,4,113602338
2017,4,113602373
2017,4,113602570
