"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,105379854,1,
2017,106312008,9,
2017,103055001,6,
2017,100745954,1,
2017,99962365,10,
2017,99987538,1,
2017,100771010,1,
2017,99945186,4,
2017,101772656,1,
2017,101303056,1,
2017,101312112,6,
2017,104646561,9,
2017,104656281,1,
2017,103848151,10,
2017,103411074,1,
2017,104646717,9,
2017,104657777,1,
2017,103855220,1,
2017,103394055,1,
2017,104611348,1,
2017,104645844,9,
2017,107507338,9,
2017,103397531,1,
2017,105386849,10,
2017,106300634,9,
2017,101317404,1,
2017,101292797,6,
2017,101770412,1,
2017,101786892,1,
2017,105389539,9,
2017,101309543,1,
2017,103393986,1,
2017,101308196,1,
2017,102639725,10,
2017,102638977,1,
2017,102648997,9,
2017,101769668,1,
2017,101779312,1,
2017,103053699,10,
2017,103061937,6,
2017,100746177,1,
2017,100748826,8,
2017,99924642,1,
2017,99957279,9,
2017,99987145,9,
2017,100771582,10,
2017,103045967,9,
2017,99442860,6,
2017,98893934,9,
2017,106298454,9,
2017,103836175,1,
2017,106316051,2,
2017,106303651,1,
2017,106290097,1,
2017,106307836,10,
2017,106311915,1,
2017,101288475,1,
2017,105385727,10,
2017,106309017,9,
2017,102642030,9,
2017,103851521,6,
2017,102654055,1,
2017,102662809,10,
2017,102663827,9,
2017,102663820,9,
2017,98899653,10,
2017,103046735,9,
2017,101783746,6,
2017,106297287,9,
2017,106297287,1,
2017,103398704,6,
2017,103401019,9,
2017,103062390,1,
2017,103853015,1,
2017,103850586,9,
2017,105402799,10,
2017,107511742,10,
2017,106734854,1,
2017,100755094,6,
2017,99930322,1,
2017,99976770,1,
2017,99978600,1,
2017,101761271,1,
2017,101792373,2,
2017,101774953,9,
2017,101781536,9,
2017,101762351,1,
2017,101293045,6,
2017,101317272,9,
2017,101302675,9,
2017,104622280,10,
2017,103826940,10,
2017,104652614,9,
2017,103859181,1,
2017,103391161,1,
2017,103417286,9,
2017,104627555,1,
2017,103397782,1,
2017,103425252,1,
2017,103851331,1,
2017,104640566,1,
2017,104646099,1,
2017,104647989,6,
2017,104658562,10,
2017,103046074,6,
2017,111197834,10,
2017,106297573,10,
2017,101774994,9,
2017,101787072,10,
2017,101301780,1,
2017,101288584,1,
2017,101770308,10,
2017,101783540,9,
2017,101769964,1,
2017,101779313,1,
2017,103836756,9,
2017,103059991,6,
2017,99487033,1,
2017,103084107,1,
2017,99944759,1,
2017,99961216,9,
2017,100772955,1,
2017,100772957,1,
2017,99962379,1,
2017,99990551,1,
2017,99975761,10,
2017,103047529,1,
2017,105389969,6,
2017,105392827,6,
2017,105415658,10,
2017,105410386,9,
2017,105415901,1,
2017,106292103,1,
2017,106297273,1,
2017,99962690,1,
2017,102641274,1,
2017,102648365,1,
2017,102652826,1,
2017,102654310,9,
2017,102656017,1,
2017,102663315,1,
2017,102663410,1,
2017,102662430,6,
2017,103837470,1,
2017,103052498,6,
2017,105388305,1,
2017,106286796,6,
2017,105397202,9,
2017,107527978,1,
2017,106741942,1,
2017,103418173,9,
2017,103079072,9,
2017,106734659,10,
2017,100765461,9,
2017,100747476,6,
2017,99453434,1,
2017,99483582,10,
2017,100771007,1,
2017,101789374,1,
2017,101792758,1,
2017,101288613,10,
2017,101780189,9,
2017,101305880,9,
2017,101304693,1,
2017,106300825,1,
2017,104636015,1,
2017,104639977,10,
2017,104645323,1,
2017,104649009,10,
2017,103396005,1,
2017,104623210,6,
2017,103415247,6,
2017,104624085,9,
2017,103072155,10,
2017,103823464,1,
2017,103851495,1,
2017,104622151,6,
2017,103861287,1,
2017,103861287,6,
2017,103866945,1,
2017,103427430,9,
2017,105404017,1,
2017,107501549,1,
2017,107501549,9,
2017,106712063,1,
2017,101310045,1,
2017,106310040,9,
2017,101318489,9,
2017,103083316,1,
2017,105388459,6,
2017,105395895,1,
2017,101311147,1,
2017,101792188,1,
2017,101757132,10,
2017,101779662,10,
2017,99962105,1,
2017,103836766,9,
2017,103078315,6,
2017,103078315,1,
2017,103077877,9,
2017,103085278,1,
2017,100768620,1,
2017,99987156,9,
2017,99945217,1,
2017,99925754,6,
2017,106309069,9,
2017,107527936,1,
2017,106712345,1,
2017,105384490,1,
2017,101296408,9,
2017,101309409,10,
2017,105382856,1,
2017,105393788,9,
2017,106306814,6,
2017,106297572,9,
2017,102639180,1,
2017,102641831,9,
2017,102643444,1,
2017,102653178,1,
2017,102658406,9,
2017,102665403,10,
2017,98902766,10,
2017,103059899,1,
2017,103067477,9,
2017,103067477,1,
2017,103069568,1,
2017,101285751,10,
2017,101289298,6,
2017,103066737,9,
2017,106309025,6,
2017,106720070,9,
2017,103411840,1,
2017,103425166,1,
2017,103849818,10,
2017,103425067,1,
2017,103829781,1,
2017,103830952,1,
2017,103862705,9,
2017,106714893,1,
2017,103055215,1,
2017,100761323,1,
2017,99928362,1,
2017,99928362,9,
2017,100770152,1,
2017,100747667,6,
2017,100755924,1,
2017,100773083,1,
2017,103866868,1,
2017,101313807,9,
2017,101293900,1,
2017,104631043,6,
2017,103823380,9,
2017,104634078,6,
2017,103830212,9,
2017,104653680,1,
2017,103411490,10,
2017,103415744,1,
2017,104628446,6,
2017,104645831,9,
2017,103414360,9,
2017,103863410,9,
2017,103405555,6,
2017,104644153,1,
2017,104644380,9,
2017,104648629,1,
2017,103046100,2,
2017,107527915,10,
2017,107507366,9,
2017,107506909,1,
2017,106748709,9,
2017,101298466,2,
2017,101301860,9,
2017,101304684,6,
2017,101769699,10,
2017,102639101,6,
2017,102634785,9,
2017,103403482,9,
2017,102648852,1,
2017,102648955,9,
2017,101771441,9,
2017,101771441,1,
2017,103048554,6,
2017,103078340,9,
2017,99473115,1,
2017,100746125,1,
2017,100746223,9,
2017,99962877,10,
2017,106293436,10,
2017,106748510,1,
2017,107935843,10,
2017,106311946,1,
2017,106311946,9,
2017,101305850,1,
2017,105390383,9,
2017,106294085,6,
2017,106294085,1,
2017,105397811,1,
2017,102648535,6,
2017,102658092,1,
2017,102664633,10,
2017,101291039,9,
2017,104612356,1,
2017,104612356,6,
2017,103854040,6,
2017,103855436,10,
2017,106292127,1,
2017,106298108,1,
2017,105388590,10,
2017,106711931,1,
2017,103852994,1,
2017,106747242,9,
2017,105390611,6,
2017,106754236,1,
2017,103077960,1,
2017,99949414,1,
2017,101769277,10,
2017,101771833,9,
2017,101787063,1,
2017,101755459,1,
2017,101286128,1,
2017,107527970,10,
2017,101288541,2,
2017,101317086,1,
2017,104634069,6,
2017,104645105,1,
2017,104642579,1,
2017,103400684,10,
2017,103421379,10,
2017,103403135,1,
2017,104616552,3,
2017,104616552,1,
2017,103860329,1,
2017,103073154,1,
2017,104625067,1,
2017,104653629,1,
2017,103852428,10,
2017,107501250,6,
2017,105385932,10,
2017,107502398,10,
2017,105386816,10,
2017,105397723,9,
2017,106292275,1,
2017,101766346,1,
2017,102647015,1,
2017,101289096,10,
2017,101763382,1,
2017,101303229,6,
2017,101769459,10,
2017,101770184,6,
2017,101789377,1,
2017,102648957,9,
2017,99473910,9,
2017,99473792,3,
2017,99459112,1,
2017,100746131,1,
2017,100746179,1,
2017,100754358,1,
2017,99951061,1,
2017,99457512,1,
2017,100748151,6,
2017,100757112,1,
2017,100766628,1,
2017,107517266,1,
2017,106727317,1,
2017,106708650,1,
2017,105373440,6,
2017,105373440,1,
2017,106306087,1,
2017,106309253,6,
2017,101779449,1,
2017,106315761,10,
2017,106297203,10,
2017,106308342,9,
2017,106303291,1,
2017,102646417,1,
2017,102662799,1,
2017,103069006,10,
2017,101792072,10,
2017,103061529,10,
2017,105403067,1,
2017,106297269,1,
2017,106289981,10,
2017,106301324,6,
2017,106301324,1,
2017,111184971,8,
2017,103853084,9,
2017,107535198,9,
2017,106729276,3,
2017,106729276,1,
2017,106310325,9,
2017,105396642,1,
2017,103070343,6,
2017,100761017,10,
2017,103056152,6,
2017,99962161,10,
2017,100770469,1,
2017,99959254,1,
2017,100769708,10,
2017,100749741,6,
2017,99951344,6,
2017,99987531,1,
2017,101769272,10,
2017,101756134,9,
2017,101285288,1,
2017,101288539,2,
2017,101294434,10,
2017,106287173,10,
2017,106293583,9,
2017,103858590,3,
2017,103858590,1,
2017,103849283,1,
2017,103862706,9,
2017,103400478,9,
2017,103400478,1,
2017,104644965,1,
2017,104611661,9,
2017,104616935,1,
2017,103866942,6,
2017,103385178,6,
2017,103404546,1,
2017,103390348,1,
2017,103400674,10,
2017,103417892,10,
2017,103411085,1,
2017,103411886,1,
2017,103411704,1,
2017,103078764,2,
2017,101760982,1,
2017,101782690,9,
2017,101306997,1,
2017,102637456,1,
2017,101758810,1,
2017,102627580,1,
2017,99443662,6,
2017,99964900,2,
2017,100746135,1,
2017,100748157,6,
2017,99979662,6,
2017,99979662,1,
2017,100746011,6,
2017,100769265,10,
2017,100770732,1,
2017,100770732,6,
2017,100772970,1,
2017,100772970,6,
2017,99951069,6,
2017,99483713,10,
2017,105415904,10,
2017,106295176,1,
2017,101288643,6,
2017,101288643,1,
2017,101777697,2,
2017,105414550,2,
2017,105414547,2,
2017,105380214,1,
2017,106306759,9,
2017,100755817,9,
2017,99926427,1,
2017,102644197,1,
2017,102652820,1,
2017,102665116,9,
2017,102648761,6,
2017,102630308,1,
2017,103054419,8,
2017,98904386,10,
2017,106301350,1,
2017,106301350,6,
2017,106288660,6,
2017,103052836,6,
2017,103425443,1,
2017,103425058,1,
2017,106717154,1,
2017,105405434,9,
2017,105407330,1,
2017,103065283,6,
2017,103048156,1,
2017,103068475,10,
2017,101774957,9,
2017,103867057,2,
2017,101285080,6,
2017,101312792,10,
2017,104629050,9,
2017,103820878,1,
2017,103415691,1,
2017,103835318,6,
2017,104653187,1,
2017,103417532,1,
2017,103390008,1,
2017,103062372,6,
2017,104635487,1,
2017,104635487,6,
2017,104639695,1,
2017,103074827,1,
2017,103408550,1,
2017,104633952,9,
2017,104629184,10,
2017,104652436,10,
2017,103860703,9,
2017,103869055,2,
2017,107501551,9,
2017,107501551,1,
2017,106734645,1,
2017,105413587,9,
2017,106317618,1,
2017,107535704,2,
2017,101303282,1,
2017,101306039,10,
2017,101760922,6,
2017,103394000,1,
2017,102634020,10,
2017,102637354,1,
2017,103401598,1,
2017,103402908,1,
2017,101777639,1,
2017,101772531,1,
2017,103083242,9,
2017,99459105,1,
2017,99953389,10,
2017,103086134,1,
2017,99483903,2,
2017,99468901,10,
2017,100750384,10,
2017,106724263,9,
2017,106724263,1,
2017,106305996,1,
2017,101778522,1,
