"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2017,20,120429064,21534372
2017,12,120429572,21534450
2017,2,120431172,21534710
2017,12,120433154,21535037
2017,12,120433215,21535045
2017,12,120435202,21535349
2017,12,120435478,21535382
2017,12,120435515,21535389
2017,12,120437365,21535656
2017,12,120438339,21535771
2017,20,120448082,21537358
2017,12,120449080,21537488
2017,12,120449971,21537660
2017,3,120458627,21539179
2017,12,120459946,21539538
2017,20,120459929,21539536
2017,12,120460254,21539601
2017,12,120462411,21540030
2017,12,120465945,21540823
2017,12,120474174,21542701
2017,12,120478683,21543929
2017,20,121677053,21805707
2017,12,121686388,21807272
2017,12,120446425,21537101
2017,18,120450232,21537706
2017,6,120452937,21538197
2017,22,120452949,21538198
2017,20,120453069,21538231
2017,12,120453160,21538239
2017,12,120453639,21538344
2017,12,120453645,21538348
2017,20,120456515,21538819
2017,12,120461890,21539905
2017,12,120469866,21541643
2017,9,120477254,21543573
2017,18,120478588,21543903
2017,12,121238801,21707878
2017,9,121238894,21707895
2017,9,121238882,21707894
2017,16,121238894,21707896
2017,18,121239603,21708043
2017,12,121240479,21708240
2017,3,121241639,21708485
2017,12,121243822,21708995
2017,12,121244001,21709050
2017,12,121251749,21710689
2017,12,121253370,21711006
2017,12,121253477,21711025
2017,12,121253481,21711026
2017,12,121254290,21711158
2017,12,121257533,21711671
2017,11,121257828,21711719
2017,5,121237539,21707628
2017,11,121238088,21707739
2017,12,121238289,21707771
2017,10,121241078,21708375
2017,12,121241019,21708365
2017,12,121242679,21708730
2017,11,120038034,21449407
2017,5,120038217,21449437
2017,10,121272604,21714502
2017,12,121272610,21714503
2017,20,121671202,21804554
2017,12,121686387,21807271
2017,18,121695637,21808810
2017,12,121672660,21804843
2017,20,121685684,21807168
2017,12,121686818,21807341
2017,3,121694254,21808510
2017,18,121694673,21808590
2017,12,121238081,21707737
2017,12,121243069,21708828
2017,12,121243495,21708917
2017,16,121243702,21708959
