"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,101517242,24,30,,107877412
2017,101517347,10,,,107877542
2017,101517347,20,105,,107877549
2017,101517347,11,20,,107877551
2017,101517347,63,1,,107877560
2017,101517347,61,2,,107877556
2017,101517827,33,100,,107878204
2017,101518010,3,900,,107878449
2017,101518222,20,220,,107878701
2017,101518234,13,300,,107878716
2017,101518495,38,30,,107879026
2017,101518529,19,10,,107879077
2017,101518527,10,,,107879072
2017,101518833,3,2000,,107879471
2017,101519771,7,475,,107880688
2017,101519799,36,100,,107880726
2017,101534439,10,,,107899988
2017,101534514,22,0,,107900087
2017,101534557,41,510,,107900147
2017,101534716,7,300,,107900389
2017,101535028,36,350,,107900796
2017,101535190,20,280,,107901037
2017,101535190,9,0,,107901040
2017,101535190,63,225,,107901039
2017,101535647,16,10,,107901653
2017,101535688,63,0,,107901706
2017,101536048,12,89,,107902187
2017,101536560,20,100,,107902875
2017,101536838,51,0,,107903242
2017,101536838,47,0,,107903237
2017,101536838,20,200,,107903236
2017,101537585,63,200,,107904189
2017,101537585,36,250,,107904188
2017,101537817,3,9000,,107904477
2017,101538633,2,23,,107905543
2017,101538631,2,23,25-OCT-17,107905541
2017,101539341,13,200,,107906512
2017,101539341,9,0,,107906515
2017,101540375,10,,,107907990
2017,101541185,21,1227,,107909069
2017,101542014,20,51,,107910253
2017,101543455,26,500,,107912328
2017,101549366,20,15,,107920030
2017,101549366,63,1,,107920033
2017,101549570,51,0,,107920315
2017,101549580,19,141,,107920325
2017,101549663,61,399,,107920406
2017,101554243,38,1,,107926146
2017,102256049,10,,,108836644
2017,102256167,63,480,,108836817
2017,102256367,3,500,,108837100
2017,102256407,20,200,,108837144
2017,102256407,8,1000,,108837135
2017,102256407,27,200,,108837145
2017,102256516,8,10,,108837283
2017,102256866,26,1000,,108837733
2017,103243618,19,42,,110117603
2017,103243613,19,42,02-DEC-17,110117598
2017,102258904,10,,,108840283
2017,102259030,16,1350,,108840447
2017,102259399,20,60,06-JUN-17,108840881
2017,102259408,20,60,,108840890
2017,102259499,61,300,,108840979
2017,102259579,7,200,,108841071
2017,102259579,61,200,,108841069
2017,102259579,25,50,,108841072
2017,102259593,20,40,,108841086
2017,102259620,37,5000,,108841118
2017,102259636,20,10,,108841136
2017,102259867,20,40,,108841386
2017,102259889,63,250,,108841415
2017,102260230,22,0,,108841829
2017,102260228,22,0,,108841827
2017,102260376,47,0,,108842021
2017,102260376,63,3550,,108842018
2017,102260457,35,100,,108842121
2017,102260497,51,0,,108842165
2017,102260702,9,0,,108842405
2017,102260966,25,40,,108842749
2017,102260966,22,0,,108842750
2017,102261021,10,,,108842819
2017,102261021,11,5,,108842820
2017,102261080,22,0,,108842917
2017,102261128,11,5,,108842977
2017,102261351,25,20,,108843286
2017,102261351,22,0,,108843292
2017,102261351,51,0,,108843293
2017,102261351,9,0,,108843291
2017,102261351,20,6,,108843289
2017,102261518,42,50,,108843536
2017,102261693,11,5,,108843756
2017,102261746,10,,,108843833
2017,102261747,11,5,,108843834
2017,102261747,10,,,108843831
2017,102262548,63,500,,108844998
2017,102262548,7,300,,108844999
2017,102262548,13,500,,108845000
2017,102262751,3,3000,,108845286
2017,102262867,63,1,,108845461
2017,102263092,4,100,,108845764
2017,102263696,45,120,,108846602
2017,102263771,10,,,108846695
2017,102264143,22,0,02-DEC-17,108847195
2017,102264150,13,6900,,108847200
2017,102264150,22,0,,108847205
2017,102264150,63,875,,108847203
2017,102264290,21,75,,108847370
2017,102264290,20,160,,108847368
2017,102264290,9,0,,108847373
2017,102264286,9,0,21-DEC-17,108847361
2017,102265161,63,43,,108848536
2017,102265157,63,43,07-DEC-17,108848528
2017,102265332,6,200,,108848748
2017,102265332,26,1200,,108848746
2017,102265332,7,1700,,108848744
2017,102265364,37,100,,108848778
2017,102265507,66,300,,108848942
2017,102266076,11,1,,108849752
2017,101515803,6,200,,107875508
2017,101515803,19,30,,107875518
2017,101515940,8,25,,107875671
2017,101516191,13,535,,107875987
2017,101516466,36,7,,107876342
2017,101517306,3,1000,,107877513
2017,101517451,6,50,,107877702
2017,101518113,51,0,,107878563
2017,101518113,10,25,,107878562
2017,101518113,63,2000,,107878556
2017,101518113,25,75,,107878558
2017,101518131,29,400,,107878582
2017,101518173,36,2020,,107878635
2017,101518326,20,100,,107878818
2017,101518426,20,10,,107878947
2017,101518458,19,20,,107878986
2017,101518455,19,20,03-DEC-17,107878983
2017,101518477,30,100,,107879004
2017,101518542,10,,,107879087
2017,101518766,12,500,,107879389
2017,101519879,10,,,107880820
2017,101520196,45,7250,,107881253
2017,101520196,52,0,,107881254
2017,101520417,19,8,,107881556
2017,101523971,4,48999,,107886357
2017,101548565,9,0,,107919033
2017,101548565,63,4,,107919030
2017,101548565,25,38,,107919027
2017,101548565,20,100,,107919013
2017,101548907,63,1,,107919506
2017,102266975,11,1,,108850984
2017,102266975,10,,,108850983
2017,102622518,16,150,,109319229
2017,102622712,38,1,21-DEC-17,109319479
2017,102622941,10,,,109319756
2017,102622934,19,12,14-DEC-17,109319753
2017,102622944,19,12,,109319762
2017,102624688,9,0,,109321950
2017,102625570,26,150,,109323005
2017,102625570,63,125,,109323006
2017,102625570,27,200,,109323000
2017,102626547,10,,,109324146
2017,102627499,10,,,109325248
2017,102627548,37,500,,109325301
2017,102628356,63,30,,109326285
2017,102628465,63,235,05-OCT-17,109326402
2017,102628465,36,1046,05-OCT-17,109326401
2017,102628467,36,1046,,109326403
2017,102628467,63,235,,109326405
2017,102628472,36,900,,109326410
2017,102628571,20,510,,109326536
2017,102628571,6,50,,109326544
2017,102628558,25,351,05-NOV-17,109326506
2017,101515781,36,400,,107875480
2017,101515919,26,30,,107875646
2017,101516153,26,300,,107875934
2017,101516879,38,100,,107876885
